alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
12274.0, 6284.8, 0.0018, 1.0, 0.0, 0.0, 0.0251, 0.0019, 0.0018, 0.0455, 0.0088, 76.8422, 2.0, 0.6023
14.7883, 28.2518, 0.2789, 0.0, 0.0, 0.0, 0.6475, 0.3041, 0.2062, 0.6115, 0.49, 8.8102, 3.0, 0.4352
21.9772, 41.3827, 0.6636, 0.0, 0.0, 0.0, 1.5034, 1.9767, 0.8208, 1.3204, 0.5396, 33.3373, 1.0, 0.3855
6.9521, 9.9151, 0.3744, 0.0, 0.0, 0.0, 1.1026, 0.8531, 0.4808, 1.4668, 0.5592, 9.6732, 2.375, 0.3907
11.4572, 26.8939, 0.2348, 0.0, 0.0, 0.0, 0.6748, 1.0214, 0.4063, 1.7606, 0.6192, 10.0057, 3.0, 0.5046
4.9764, 11.5532, 0.356, 0.0, 0.0, 0.0, 0.924, 1.1221, 0.501, 2.1503, 0.662, 6.0058, 3.375, 0.423
6.1122, 14.7612, 0.3251, 0.0, 0.0, 0.0, 0.9984, 1.0945, 0.5211, 1.8458, 0.6422, 8.8937, 3.125, 0.4157
8.9705, 18.1929, 0.2496, 0.0, 0.0, 0.0, 0.7221, 0.7986, 0.379, 1.238, 0.6065, 8.6626, 1.625, 0.4226
6.8203, 13.0458, 0.525, 0.0, 0.0, 0.0, 1.027, 1.9867, 0.6759, 2.5815, 0.6767, 9.623, 1.625, 0.4064
10.8675, 29.133, 0.1786, 0.0, 0.0, 0.0, 0.523, 0.9945, 0.3398, 1.8948, 0.6204, 9.345, 3.25, 0.4261
8.1712, 9.6446, 0.3739, 0.0, 0.0, 0.0, 0.7137, 2.6914, 0.5639, 3.7377, 0.7214, 7.422, 2.25, 0.4033
5.087, 33.554, 0.1958, 0.0, 0.0, 0.0, 1.4595, 1.5871, 0.7596, 1.7192, 0.6988, 9.2486, 4.125, 0.4338
5.7847, 20.0186, 0.2421, 0.0, 0.0, 0.0, 0.8801, 1.4856, 0.5511, 2.5663, 0.7034, 8.7482, 2.75, 0.3697
10.3713, 24.8409, 0.2345, 0.0, 0.0, 0.0, 0.637, 1.6493, 0.459, 2.1098, 0.6148, 6.7072, 4.125, 0.4382
7.0762, 32.4162, 0.1792, 0.0, 0.0, 0.0, 0.9553, 1.6716, 0.6079, 2.4834, 0.6801, 8.3563, 2.625, 0.4222
6.6642, 20.4774, 0.275, 0.0, 0.0, 0.0, 1.0906, 2.1071, 0.7182, 2.8356, 0.6822, 8.285, 4.0, 0.4267
5.716, 20.8228, 0.246, 0.0, 0.0, 0.0, 1.1537, 1.913, 0.717, 3.8221, 0.6974, 8.4116, 2.75, 0.4055
8.0217, 24.0607, 0.4715, 0.0, 0.0, 0.0, 1.0347, 1.74, 0.6463, 2.8458, 0.5335, 11.1347, 2.25, 0.4292
12.236, 27.0063, 0.271, 0.0, 0.0, 0.0, 0.5803, 1.5846, 0.4246, 2.7257, 0.6635, 11.5044, 2.625, 0.4597
9.4141, 14.3239, 0.2221, 0.0, 0.0, 0.0, 0.7593, 0.7174, 0.3688, 1.0701, 0.6957, 7.509, 4.625, 0.4541
11.502, 18.6826, 0.416, 0.0, 0.0, 0.0, 0.5728, 1.2451, 0.3921, 2.5894, 0.5899, 9.4265, 2.625, 0.4009
7.5569, 30.3257, 0.2331, 1.0, 0.0, 0.0, 0.7797, 1.4107, 0.4939, 1.8647, 0.5671, 8.0143, 2.25, 0.4206
6.5854, 31.9609, 0.1921, 0.0, 0.0, 0.0, 1.1181, 1.4689, 0.6348, 3.207, 0.694, 6.9412, 2.125, 0.3938
12.3827, 32.4595, 0.2534, 0.0, 0.0, 0.0, 0.5921, 1.037, 0.3769, 2.3656, 0.6299, 10.9267, 1.375, 0.408
12.6223, 24.7056, 0.259, 0.0, 0.0, 0.0, 0.5899, 2.1927, 0.464, 3.7604, 0.6352, 9.2016, 3.625, 0.4837
