Label, Score
Score, 2.808083171438013E-169
Score, 8.039218269021314E-5
Score, 99.00475938841157
Score, 93.99044449889
Score, 95.8894803223814
Score, 98.53556457935076
Score, 78.27124644568903
Score, 99.22587969173199
Score, 97.73923823383946
Score, 3.749422375888202
Score, 97.9365581620906
Score, 4.528928520855435
Score, 90.28286959677338
Score, 76.6717581598436
Score, 1.6396453925118422
Score, 98.22115326522194
Score, 78.65903634504988
Score, 3.5770264767660334
Score, 95.29922710186727
Score, 6.085115027857587
Score, 95.79538546711986
Score, 63.582537966819295
Score, 93.63895657950091
Score, 2.0287261949429154
Score, 90.41562838818884
Concentration Duration (Seconds) out of 125, 85
Average Score (0-100), 62.59074674295098
Sustain Rate (%), 68.0
Game Score, 7737.4075653448535
