alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
3934.1, 12786.0, 0.0018, 0.0, 0.0, 0.0, 0.0256, 0.002, 0.0018, 0.0457, 0.0085, 193.1767, 3.875, 0.6526
15.1285, 23.0094, 0.4131, 0.0, 0.0, 0.0, 0.7187, 0.2132, 0.1644, 0.3798, 0.4545, 16.3302, 1.875, 0.3918
12.2789, 15.1461, 0.3531, 2.0, 0.2637, 0.0, 0.8392, 0.7563, 0.3964, 0.9688, 0.5505, 10.5802, 2.125, 0.4228
10.8951, 7.0981, 0.4889, 1.0, 0.5664, 0.0, 0.9979, 0.4327, 0.2982, 0.4669, 0.3612, 9.6239, 2.375, 0.4215
6.9431, 21.9023, 0.2437, 0.0, 0.0, 0.0, 1.0653, 0.8057, 0.458, 0.9154, 0.6436, 12.677, 2.25, 0.426
9.1269, 10.3101, 0.5656, 0.0, 0.0, 0.0, 0.6655, 1.4172, 0.4523, 3.1805, 0.6549, 12.9902, 2.875, 0.443
7.0843, 10.0993, 0.5617, 0.0, 0.0, 0.0, 0.9814, 1.095, 0.5175, 1.7859, 0.6463, 12.5732, 2.25, 0.3988
8.0517, 10.2396, 0.5568, 0.0, 0.0, 0.0, 1.1295, 0.4672, 0.3301, 0.8021, 0.5451, 14.5859, 3.75, 0.4014
6.0653, 7.4483, 1.4033, 2.0, 0.2637, 0.0, 1.8285, 1.7078, 0.8752, 2.1442, 0.6719, 13.1767, 4.5, 0.4385
7.9215, 9.2888, 0.6799, 2.0, 0.3027, 0.0, 1.604, 1.0538, 0.6227, 1.2528, 0.6933, 10.8357, 2.0, 0.3956
3.7675, 7.0097, 0.5012, 1.0, 0.2344, 0.0, 1.2372, 1.1488, 0.5954, 1.6793, 0.5688, 9.8747, 2.5, 0.4365
4.5904, 7.2912, 0.9644, 0.0, 0.0, 0.0, 2.6474, 1.5132, 0.9609, 1.2498, 0.7152, 11.482, 2.375, 0.4196
3.8716, 7.1367, 0.5642, 0.0, 0.0, 0.0, 2.5508, 1.418, 0.9107, 1.4065, 0.6493, 7.6493, 3.0, 0.4483
8.1845, 7.5081, 0.6829, 1.0, 0.3516, 0.0, 0.9041, 1.1807, 0.512, 1.7883, 0.5789, 10.6104, 2.375, 0.4931
8.2232, 11.9106, 0.5512, 2.0, 0.5176, 0.0, 1.1084, 1.0032, 0.5249, 1.2993, 0.5012, 12.5921, 2.375, 0.3904
9.7756, 6.4262, 0.6857, 0.0, 0.0, 0.0, 0.8967, 0.3354, 0.2438, 0.5122, 0.6141, 13.0738, 2.25, 0.3958
6.943, 6.2221, 0.5395, 0.0, 0.0, 0.0, 0.9707, 0.3586, 0.2619, 0.5907, 0.5812, 9.6123, 2.375, 0.399
6.1462, 9.703, 0.4604, 1.0, 1.2012, 0.0, 0.9834, 0.2424, 0.1941, 0.2303, 0.5266, 11.5189, 3.375, 0.4016
4.4426, 9.0655, 0.527, 2.0, 0.3418, 0.0, 2.1, 0.9433, 0.6504, 0.941, 0.576, 9.709, 3.0, 0.4214
8.1748, 8.5274, 0.4553, 0.0, 0.0, 0.0, 0.8713, 0.4577, 0.2942, 0.5221, 0.5822, 10.4106, 2.375, 0.4139
7.4089, 6.5134, 1.8758, 2.0, 0.2734, 0.0, 2.3452, 2.9573, 1.2816, 1.6512, 0.8134, 11.7504, 2.875, 0.4363
5.6554, 13.9122, 0.434, 2.0, 0.3613, 0.0, 1.349, 1.0935, 0.6031, 1.3862, 0.6237, 11.7234, 3.875, 0.428
8.8843, 10.6409, 0.3227, 0.0, 0.0, 0.0, 0.7353, 0.2723, 0.1983, 0.4501, 0.5667, 10.1523, 3.5, 0.4348
6.371, 8.3946, 0.3361, 3.0, 0.293, 0.0, 0.7327, 0.22, 0.1692, 0.36, 0.5196, 10.3202, 2.375, 0.4189
3.795, 5.8832, 0.5084, 2.0, 0.8105, 0.0, 1.3617, 0.3587, 0.2837, 0.4832, 0.4992, 9.935, 1.625, 0.4058
