alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
717.9469, 1922.0, 0.0021, 1.0, 0.2734, 0.0, 0.0656, 0.005, 0.0047, 0.0474, 0.0092, 18.8329, 1.625, 0.5428
4.553, 7.0086, 0.7122, 0.0, 0.0, 0.0, 1.6905, 1.4546, 0.7762, 1.4229, 0.7482, 13.2085, 2.375, 0.3594
6.3509, 7.9997, 0.5496, 1.0, 0.2734, 0.0, 1.5129, 2.0387, 0.8682, 2.5668, 0.6565, 10.6741, 3.375, 0.3744
7.7266, 15.3327, 0.301, 0.0, 0.0, 0.0, 1.278, 1.5678, 0.7041, 2.201, 0.6539, 10.2951, 3.0, 0.3884
6.0191, 12.2281, 0.3462, 2.0, 0.4004, 0.0, 1.0832, 1.4394, 0.6178, 1.9973, 0.6097, 11.6996, 3.25, 0.3706
7.2561, 12.6029, 0.3117, 0.0, 0.0, 0.0, 0.8935, 1.7328, 0.5878, 2.8689, 0.7095, 7.8034, 3.0, 0.4
12.4866, 24.2078, 0.1197, 0.0, 0.0, 0.0, 0.5518, 1.1805, 0.3733, 2.0255, 0.6532, 9.0174, 5.375, 0.4777
4.9325, 14.3942, 0.2742, 0.0, 0.0, 0.0, 1.5059, 0.3076, 0.2553, 0.3973, 0.5304, 8.2571, 4.5, 0.3363
8.2182, 16.0744, 0.2324, 0.0, 0.0, 0.0, 1.1726, 1.3671, 0.6296, 1.4082, 0.7101, 9.2204, 3.75, 0.4017
11.8539, 13.4033, 0.2597, 2.0, 0.2344, 0.0, 0.9485, 1.4697, 0.5722, 2.5223, 0.5449, 9.3356, 3.375, 0.4003
6.7042, 15.6551, 0.2475, 1.0, 0.2734, 0.0, 1.4611, 1.3781, 0.704, 1.8253, 0.6336, 9.1561, 4.0, 0.3617
5.6123, 7.9468, 0.4525, 1.0, 0.2734, 0.0, 1.5404, 2.8964, 0.9978, 3.0495, 0.7081, 8.4534, 5.0, 0.4265
7.6791, 12.22, 0.3295, 0.0, 0.0, 0.0, 1.1824, 1.5962, 0.6792, 2.0229, 0.675, 11.9217, 2.0, 0.4242
5.9424, 11.0508, 0.2828, 1.0, 0.293, 0.0, 1.9958, 1.7876, 0.9363, 1.5916, 0.6119, 9.3018, 3.875, 0.3965
4.8371, 7.8822, 0.328, 1.0, 0.2148, 0.0, 1.9845, 1.9606, 0.9857, 2.0389, 0.6464, 8.9005, 3.0, 0.4016
7.0508, 7.9642, 0.368, 0.0, 0.0, 0.0, 1.4566, 2.2868, 0.883, 2.1104, 0.779, 8.2209, 3.875, 0.397
5.9552, 9.2423, 0.4125, 1.0, 0.2734, 0.0, 1.9474, 2.1478, 1.0206, 1.8926, 0.6635, 11.095, 3.875, 0.3682
6.4278, 12.036, 0.2901, 0.0, 0.0, 0.0, 1.7628, 1.3032, 0.7479, 1.2656, 0.6941, 9.0949, 3.0, 0.3816
6.5559, 14.0822, 0.1996, 1.0, 0.293, 0.0, 1.502, 1.6944, 0.7924, 1.9916, 0.6209, 8.4042, 2.375, 0.3856
10.0622, 12.0875, 0.402, 0.0, 0.0, 0.0, 1.1775, 0.8671, 0.4462, 0.1755, 0.6598, 10.104, 2.5, 0.3622
10.7615, 9.7217, 0.4523, 2.0, 0.2344, 0.0, 1.2202, 0.2548, 0.2049, 0.2537, 0.4481, 9.7961, 1.625, 0.3975
6.6057, 13.2775, 0.7407, 2.0, 0.3711, 0.0, 2.0971, 1.5752, 0.8933, 1.8498, 0.3732, 17.9689, 2.375, 0.4197
5.594, 9.501, 0.4621, 0.0, 0.0, 0.0, 1.686, 2.7648, 1.0473, 1.8169, 0.7709, 11.6758, 1.5, 0.3415
6.0963, 14.5665, 0.2611, 2.0, 0.2734, 0.0, 1.4356, 1.602, 0.7559, 1.1509, 0.5796, 9.6257, 4.5, 0.4347
3.8279, 6.2926, 0.3997, 0.0, 0.0, 0.0, 3.0204, 3.1485, 1.5411, 2.5475, 0.7493, 6.9854, 2.625, 0.3868
