Label, Score
Score, 0.0
Score, 94.73088692661537
Score, 85.46214080224874
Score, 8.963204956441356
Score, 84.62921025475126
Score, 30.260472599419845
Score, 84.18462238530383
Score, 0.7272844341857977
Score, 83.50755436272344
Score, 3.6443700565462387
Score, 25.616052264611238
Score, 60.279605839734614
Score, 65.58244540669811
Score, 11.087762692164564
Score, 26.18368278733986
Score, 77.42459256785318
Score, 91.43052006171595
Score, 94.85960098314004
Score, 27.002090209350815
Score, 3.285205271632404E-35
Score, 1.8085610338605105
Score, 96.27380646869838
Score, 95.31111942710162
Score, 83.71917644969365
Score, 2.39626616639195
Concentration Duration (Seconds) out of 125, 70
Average Score (0-100), 49.40340116546362
Sustain Rate (%), 56.00000000000001
Game Score, 5745.708047279382
