Start Index, End Index, Length
0, 1250, 1251
1251, 2503, 1253
2504, 3753, 1250
3754, 5003, 1250
5004, 6255, 1252
6256, 7507, 1252
7508, 8760, 1253
8761, 10008, 1248
10009, 11260, 1252
11261, 12512, 1252
12513, 13764, 1252
13765, 15015, 1251
15016, 16267, 1252
16268, 17517, 1250
17518, 18769, 1252
18770, 20020, 1251
20021, 21272, 1252
21273, 22524, 1252
22525, 23774, 1250
23775, 25026, 1252
25027, 26278, 1252
26279, 27531, 1253
27532, 28781, 1250
28782, 30033, 1252
30034, 31283, 1250
31284, 32535, 1252
32536, 33788, 1253
33789, 35038, 1250
35039, 36290, 1252
36291, 37540, 1250
37541, 38791, 1251
38792, 40043, 1252
40044, 41293, 1250
41294, 42545, 1252
42546, 43797, 1252
43798, 45049, 1252
45050, 46300, 1251
46301, 47550, 1250
47551, 48802, 1252
48803, 50054, 1252
50055, 51306, 1252
51307, 52559, 1253
52560, 53811, 1252
53812, 55061, 1250
55062, 56313, 1252
56314, 57563, 1250
57564, 58816, 1253
58817, 60068, 1252
60069, 61318, 1250
61319, 62570, 1252
62571, 63822, 1252
63823, 65073, 1251
65074, 66323, 1250
66324, 67575, 1252
67576, 68827, 1252
68828, 70079, 1252
70080, 71330, 1251
71331, 72582, 1252
72583, 73832, 1250
73833, 75084, 1252
75085, 76336, 1252
76337, 77588, 1252
77589, 78842, 1254
78843, 80093, 1251
80094, 81347, 1254
81348, 82597, 1250
82598, 83849, 1252
83850, 85099, 1250
85100, 86352, 1253
86353, 87602, 1250
87603, 88856, 1254
88857, 90108, 1252
90109, 91362, 1254
91363, 92614, 1252
92615, 93866, 1252
93867, 95118, 1252
95119, 96368, 1250
96369, 97622, 1254
97623, 98873, 1251
98874, 100125, 1252
100126, 101379, 1254
101380, 102629, 1250
102630, 103881, 1252
103882, 105135, 1254
105136, 106387, 1252
106388, 107637, 1250
107638, 108889, 1252
108890, 110143, 1254
110144, 111394, 1251
111395, 112646, 1252
112647, 113898, 1252
113899, 115150, 1252
115151, 116404, 1254
116405, 117656, 1252
117657, 118907, 1251
118908, 120159, 1252
120160, 121411, 1252
121412, 122663, 1252
122664, 123915, 1252
123916, 125169, 1254
125170, 126419, 1250
126420, 127672, 1253
127673, 128924, 1252
128925, 130174, 1250
130175, 131426, 1252
131427, 132678, 1252
132679, 133931, 1253
133932, 135183, 1252
135184, 136435, 1252
136436, 137685, 1250
137686, 138937, 1252
138938, 140189, 1252
140190, 141440, 1251
141441, 142692, 1252
142693, 143944, 1252
143945, 145194, 1250
145195, 146448, 1254
146449, 147699, 1251
147700, 148951, 1252
148952, 150203, 1252
