alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
671.0666, 1731.2, 0.0021, 2.0, 0.2148, 0.0, 0.127, 0.0118, 0.0108, 0.0741, 0.0107, 22.4403, 3.125, 0.4825
41.3913, 8.7329, 0.3266, 0.0, 0.0, 0.0, 0.3433, 0.1, 0.0766, 0.2936, 0.3862, 14.1432, 2.625, 0.4245
10.4738, 4.6591, 0.8941, 0.0, 0.0, 0.0, 1.4614, 0.2974, 0.2405, 0.1962, 0.6867, 10.2537, 1.625, 0.4197
18.6212, 11.5857, 0.5646, 0.0, 0.0, 0.0, 0.4328, 0.483, 0.2242, 0.724, 0.5039, 10.3856, 3.375, 0.4216
15.6053, 29.3813, 0.3006, 0.0, 0.0, 0.0, 0.7195, 0.8237, 0.3361, 1.2842, 0.6039, 10.1629, 3.375, 0.3789
19.7913, 34.54, 0.2184, 0.0, 0.0, 0.0, 0.4623, 1.4069, 0.348, 1.9912, 0.6687, 11.9773, 2.625, 0.3464
26.012, 56.6076, 0.1442, 0.0, 0.0, 0.0, 0.3619, 1.2067, 0.278, 1.1003, 0.6942, 8.693, 3.5, 0.3531
24.7587, 54.3937, 0.1173, 0.0, 0.0, 0.0, 0.3083, 0.591, 0.201, 0.9255, 0.6734, 7.9836, 5.0, 0.349
18.9145, 60.696, 0.1498, 0.0, 0.0, 0.0, 0.4293, 1.0122, 0.2868, 2.1986, 0.5684, 12.5277, 1.625, 0.2931
12.3371, 35.2801, 0.2287, 0.0, 0.0, 0.0, 0.9392, 2.2511, 0.6557, 2.6782, 0.7347, 10.3566, 2.0, 0.3568
12.0429, 17.8957, 0.4285, 0.0, 0.0, 0.0, 0.6788, 1.3461, 0.4511, 1.4084, 0.6628, 9.4019, 2.25, 0.2936
23.1233, 12.917, 0.4317, 0.0, 0.0, 0.0, 0.3669, 1.4757, 0.293, 1.8355, 0.7713, 8.723, 2.375, 0.4156
14.0066, 32.4541, 0.1936, 0.0, 0.0, 0.0, 0.6111, 1.3289, 0.4184, 1.7959, 0.6581, 8.7056, 3.625, 0.3239
13.6643, 38.8499, 0.1644, 0.0, 0.0, 0.0, 0.7829, 0.747, 0.3776, 1.0824, 0.6034, 8.3611, 3.625, 0.3734
22.2697, 40.2733, 0.2162, 0.0, 0.0, 0.0, 0.4905, 1.3134, 0.3031, 2.7018, 0.615, 11.0537, 1.625, 0.3489
14.9656, 23.0038, 0.2893, 0.0, 0.0, 0.0, 0.7632, 0.8871, 0.3514, 1.5468, 0.5197, 10.2006, 2.5, 0.3014
22.7717, 28.756, 0.2328, 0.0, 0.0, 0.0, 0.3623, 0.8075, 0.2446, 1.2443, 0.4653, 9.1903, 2.5, 0.3093
23.5096, 39.6472, 0.2082, 0.0, 0.0, 0.0, 0.3952, 0.7013, 0.2371, 1.0967, 0.5448, 9.8645, 2.25, 0.3366
16.2325, 30.0158, 0.3933, 0.0, 0.0, 0.0, 0.9626, 1.4083, 0.5134, 2.071, 0.706, 15.1068, 1.5, 0.351
14.686, 36.2012, 0.1984, 0.0, 0.0, 0.0, 0.5348, 1.102, 0.3507, 1.7738, 0.6103, 8.3813, 4.375, 0.3603
16.3152, 21.9752, 0.3025, 0.0, 0.0, 0.0, 0.4881, 0.3749, 0.1986, 0.558, 0.5464, 8.9711, 3.125, 0.4035
14.964, 11.0134, 0.5828, 0.0, 0.0, 0.0, 0.6362, 0.7527, 0.3412, 0.7896, 0.5353, 10.1588, 2.875, 0.3215
10.8105, 66.8321, 0.1074, 0.0, 0.0, 0.0, 0.7621, 1.3045, 0.4633, 1.9238, 0.6762, 9.4179, 2.125, 0.3377
10.7899, 33.9284, 0.2348, 0.0, 0.0, 0.0, 0.8297, 0.7477, 0.3932, 0.7601, 0.5434, 10.4111, 1.5, 0.3881
9.1442, 43.7042, 0.1937, 0.0, 0.0, 0.0, 0.9436, 1.6507, 0.5802, 2.0251, 0.6617, 10.4329, 1.0, 0.3213
