alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
650.7668, 18679.0, 0.0018, 1.0, 0.2539, 0.0, 0.0678, 0.0054, 0.005, 0.0491, 0.009, 22.0511, 1.75, 0.5959
12.2432, 22.8806, 0.4005, 2.0, 0.293, 0.0, 1.5055, 1.5314, 0.7582, 2.3217, 0.613, 15.5421, 4.25, 0.4366
6.7315, 12.2194, 0.58, 0.0, 0.0, 0.0, 1.4061, 1.5282, 0.7264, 1.9493, 0.768, 12.1119, 2.375, 0.4201
5.5238, 7.9794, 0.8512, 0.0, 0.0, 0.0, 1.6824, 2.5717, 1.0167, 2.7894, 0.567, 14.1181, 1.125, 0.3552
12.1436, 5.8137, 0.7965, 1.0, 0.293, 0.0, 1.4536, 1.5834, 0.7571, 2.2151, 0.6657, 11.9283, 3.0, 0.4528
12.3453, 21.1035, 0.4049, 1.0, 0.2539, 0.0, 1.2148, 1.4631, 0.6412, 1.2595, 0.6446, 13.7935, 3.5, 0.4169
8.8457, 230.6207, 0.0194, 1.0, 0.0, 0.0, 1.7143, 0.9298, 0.5946, 1.6044, 0.4509, 14.4975, 3.25, 0.3828
4.1791, 5.0229, 0.911, 1.0, 0.2148, 0.0, 2.4188, 1.1804, 0.7814, 1.0751, 0.6239, 14.7647, 1.5, 0.3391
18.5566, 13.2715, 0.3078, 2.0, 0.3223, 0.0, 0.8193, 0.3631, 0.2514, 0.6895, 0.4548, 11.733, 2.375, 0.4004
4.1988, 7.4853, 0.5547, 0.0, 0.0, 0.0, 1.8204, 0.5226, 0.4052, 0.6306, 0.4086, 12.2917, 2.875, 0.4017
10.3474, 11.7152, 0.558, 1.0, 0.293, 0.0, 0.8621, 1.2468, 0.5097, 1.8172, 0.6109, 11.5846, 3.25, 0.4412
9.7139, 7.6379, 0.5443, 0.0, 0.0, 0.0, 0.9033, 0.9361, 0.455, 1.9019, 0.7048, 9.0196, 2.25, 0.4038
12.5423, 25.4489, 0.1878, 1.0, 0.293, 0.0, 0.9568, 1.0497, 0.5004, 1.9259, 0.5829, 12.3859, 2.625, 0.409
6.7093, 21.0426, 0.2533, 1.0, 0.332, 0.0, 1.4137, 1.1712, 0.6385, 1.8174, 0.5922, 13.3304, 3.5, 0.4694
7.5893, 19.2521, 0.5543, 1.0, 0.293, 0.0, 1.0553, 1.775, 0.6617, 2.5955, 0.6917, 16.7857, 4.5, 0.3719
4.9242, 11.9009, 0.7065, 0.0, 0.0, 0.0, 1.5596, 2.5387, 0.966, 3.1436, 0.789, 14.4998, 3.375, 0.397
7.1481, 33.2399, 0.2487, 0.0, 0.0, 0.0, 0.9797, 1.8237, 0.6371, 2.7139, 0.7088, 13.1367, 2.125, 0.3583
11.1544, 27.7508, 0.3783, 1.0, 0.3125, 0.0, 1.1431, 2.3932, 0.7708, 3.9254, 0.4708, 13.3192, 2.25, 0.3495
9.3814, 18.1732, 0.2173, 1.0, 0.293, 0.0, 1.0863, 1.4386, 0.6025, 3.0585, 0.6081, 12.824, 2.375, 0.3896
11.9624, 16.8962, 0.4628, 0.0, 0.0, 0.0, 1.0028, 1.0357, 0.4572, 0.1693, 0.5716, 11.1825, 2.25, 0.3597
5.8203, 8.2943, 0.6685, 0.0, 0.0, 0.0, 1.2745, 1.9231, 0.7662, 2.6071, 0.7247, 10.054, 2.0, 0.3113
5.2283, 10.982, 0.3801, 1.0, 0.2734, 0.0, 1.8375, 1.5205, 0.8271, 1.7557, 0.6357, 10.8963, 3.125, 0.414
5.5482, 11.9789, 0.5553, 0.0, 0.0, 0.0, 1.3801, 2.067, 0.8272, 3.3644, 0.7378, 11.5448, 3.125, 0.4215
5.7861, 15.6284, 0.4157, 1.0, 0.4297, 0.0, 1.3279, 0.6961, 0.4546, 1.1514, 0.4251, 10.5458, 2.125, 0.3601
34.1532, 153.8958, 0.0702, 2.0, 0.4492, 0.0, 1.0764, 0.7981, 0.4533, 0.9685, 0.3399, 15.0184, 2.0, 0.3987
