alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
1677.1, 147.8693, 0.0166, 2.0, 0.5566, 0.0, 0.136, 0.0137, 0.0124, 0.0479, 0.014, 43.6986, 1.0, 0.3563
2.4542, 1.9394, 0.1574, 0.0, 0.0, 0.0, 0.5386, 0.2254, 0.1583, 0.5954, 0.5911, 2.4972, 5.375, 0.3946
7.08, 5.7099, 0.7436, 0.0, 0.0, 0.0, 1.4465, 0.8387, 0.5197, 1.5031, 0.5765, 24.824, 2.625, 0.4405
5.5308, 5.7259, 0.8087, 0.0, 0.0, 0.0, 2.2367, 1.2284, 0.7844, 1.8056, 0.6967, 27.3718, 3.375, 0.3829
11.3705, 15.8204, 0.351, 0.0, 0.0, 0.0, 1.0227, 0.4682, 0.3209, 0.6294, 0.6242, 26.2882, 1.375, 0.3834
10.0115, 8.9387, 0.4621, 0.0, 0.0, 0.0, 0.7037, 0.3673, 0.2399, 0.7628, 0.4574, 22.0975, 2.0, 0.3953
10.2557, 6.86, 0.7887, 0.0, 0.0, 0.0, 1.2195, 3.0761, 0.8564, 5.3635, 0.7313, 21.9565, 3.625, 0.4474
9.5455, 12.5211, 0.5482, 0.0, 0.0, 0.0, 0.8633, 1.0907, 0.4717, 2.6389, 0.6875, 23.8989, 4.0, 0.4503
8.5659, 4.8313, 0.5701, 0.0, 0.0, 0.0, 0.8997, 0.623, 0.368, 0.8831, 0.6275, 23.0985, 4.0, 0.4329
6.8947, 16.1968, 0.3699, 0.0, 0.0, 0.0, 1.1047, 1.5216, 0.6398, 2.1784, 0.7024, 14.6686, 1.75, 0.3828
6.129, 10.1306, 0.3048, 0.0, 0.0, 0.0, 1.2785, 0.7813, 0.4822, 1.1119, 0.5764, 16.9614, 2.5, 0.3886
12.3925, 7.0128, 0.459, 0.0, 0.0, 0.0, 0.7424, 0.2079, 0.1616, 0.2308, 0.4719, 21.0576, 2.875, 0.3928
37.1139, 9.212, 0.518, 2.0, 0.1953, 0.0, 0.7308, 0.295, 0.2063, 0.7986, 0.3798, 25.7003, 1.75, 0.3724
15.4214, 7.2093, 0.5371, 2.0, 0.293, 0.0, 1.2533, 0.5317, 0.3701, 0.8601, 0.4412, 20.9314, 2.75, 0.4071
20.2836, 12.3629, 0.3273, 1.0, 0.332, 0.0, 0.7059, 0.5408, 0.3035, 1.0147, 0.5878, 18.6537, 2.5, 0.4442
12.0723, 5.1008, 0.6739, 0.0, 0.0, 0.0, 0.6865, 0.8546, 0.3584, 0.8437, 0.6826, 17.4749, 2.875, 0.429
7.737, 7.2363, 0.4465, 0.0, 0.0, 0.0, 0.791, 0.7656, 0.3883, 1.1078, 0.6735, 16.1777, 2.25, 0.4114
11.1768, 9.4099, 0.4108, 0.0, 0.0, 0.0, 0.7657, 0.6686, 0.3484, 0.8651, 0.6976, 14.8721, 4.125, 0.3868
30.9759, 5.2284, 1.1851, 1.0, 0.332, 0.0, 1.252, 1.1051, 0.5851, 1.4722, 0.6088, 31.4811, 1.625, 0.3968
12.6399, 6.4893, 1.0826, 1.0, 0.3125, 0.0, 1.7994, 1.026, 0.6482, 1.4646, 0.6252, 26.126, 2.0, 0.401
4.1524, 5.4381, 0.7007, 1.0, 0.332, 0.0, 3.0351, 2.1906, 1.272, 1.8391, 0.6251, 15.0531, 2.0, 0.4123
5.2537, 5.7155, 1.0056, 0.0, 0.0, 0.0, 1.9945, 0.7217, 0.5289, 0.7714, 0.6308, 20.9993, 3.375, 0.4378
11.1186, 5.1066, 0.9896, 1.0, 0.3516, 0.0, 1.1841, 1.6597, 0.6905, 2.5517, 0.6103, 21.7599, 2.875, 0.4091
8.8334, 8.3887, 0.6014, 0.0, 0.0, 0.0, 1.1598, 0.9068, 0.5073, 0.8444, 0.7669, 25.2583, 2.75, 0.4352
5.8612, 5.2252, 0.8933, 1.0, 0.3125, 0.0, 2.3111, 1.7267, 0.9632, 2.1279, 0.6948, 21.2635, 4.125, 0.4026
