alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
1477.9, 394.3441, 0.246, 1.0, 0.1758, 0.0, 0.0321, 0.0025, 0.0023, 0.0465, 0.0169, 357.2216, 1.625, 0.3968
26.8197, 29.7789, 0.2462, 2.0, 0.2148, 0.0, 0.4913, 0.1745, 0.1287, 0.2944, 0.2093, 19.1621, 1.75, 0.3976
21.2115, 38.1252, 0.3593, 1.0, 0.0, 0.0, 0.5917, 0.5218, 0.2727, 1.3458, 0.3378, 15.7348, 2.25, 0.4513
43.6186, 74.5132, 0.197, 0.0, 0.0, 0.0, 0.3672, 0.7853, 0.2502, 1.1757, 0.394, 23.9659, 2.25, 0.3594
37.1323, 46.0987, 0.2142, 0.0, 0.0, 0.0, 0.2852, 0.7412, 0.2059, 0.8663, 0.5776, 12.5722, 1.625, 0.2442
33.3861, 73.9798, 0.1844, 0.0, 0.0, 0.0, 0.3723, 0.7369, 0.2473, 1.1963, 0.6059, 13.8676, 2.0, 0.2823
24.9453, 68.4304, 0.1486, 0.0, 0.0, 0.0, 0.4914, 0.9672, 0.3251, 1.9023, 0.6, 15.1246, 2.125, 0.297
27.9991, 72.2766, 0.1362, 0.0, 0.0, 0.0, 0.3225, 0.4257, 0.1835, 0.7418, 0.5815, 13.3805, 1.875, 0.2416
34.8205, 83.4231, 0.1304, 0.0, 0.0, 0.0, 0.2613, 0.4804, 0.1685, 0.8634, 0.6185, 9.454, 1.5, 0.2071
33.4532, 120.1774, 0.0794, 0.0, 0.0, 0.0, 0.2868, 0.4375, 0.1729, 0.6628, 0.5642, 12.392, 1.375, 0.2732
18.0063, 113.6148, 0.1072, 0.0, 0.0, 0.0, 0.548, 0.9609, 0.3483, 1.4645, 0.4755, 10.3124, 1.375, 0.2527
28.287, 100.6698, 0.1357, 0.0, 0.0, 0.0, 0.3047, 0.5225, 0.1923, 0.8821, 0.6123, 10.495, 2.875, 0.2393
41.1143, 115.6712, 0.1108, 0.0, 0.0, 0.0, 0.2428, 0.75, 0.183, 1.2045, 0.6054, 13.5564, 1.625, 0.2837
32.6783, 48.0076, 0.1399, 0.0, 0.0, 0.0, 0.2778, 0.5505, 0.1846, 0.9888, 0.6234, 10.5847, 0.75, 0.2423
31.8822, 95.1224, 0.1769, 0.0, 0.0, 0.0, 0.2991, 1.2604, 0.2417, 2.143, 0.6088, 10.5343, 1.625, 0.2204
24.7128, 73.5648, 0.1048, 0.0, 0.0, 0.0, 0.3656, 0.8633, 0.256, 2.0798, 0.6247, 10.4482, 1.875, 0.2532
16.11, 110.966, 0.1131, 0.0, 0.0, 0.0, 0.6874, 1.1781, 0.4329, 2.0777, 0.6204, 10.5917, 1.875, 0.2744
20.6384, 41.1797, 0.2268, 0.0, 0.0, 0.0, 0.4825, 0.9519, 0.3202, 1.3009, 0.608, 13.6616, 2.125, 0.2485
22.6826, 142.3756, 0.0768, 0.0, 0.0, 0.0, 0.3939, 0.5398, 0.2263, 1.1235, 0.6173, 9.6441, 1.375, 0.3087
33.3595, 79.9033, 0.1072, 0.0, 0.0, 0.0, 0.2771, 0.4698, 0.1742, 0.8147, 0.6088, 10.211, 1.25, 0.2171
30.931, 99.8309, 0.1164, 0.0, 0.0, 0.0, 0.371, 0.9087, 0.2631, 1.299, 0.6437, 11.8644, 3.5, 0.2815
32.0381, 120.5013, 0.0903, 0.0, 0.0, 0.0, 0.3201, 1.1322, 0.2466, 1.8254, 0.625, 12.5203, 0.875, 0.2557
18.9398, 119.6233, 0.0736, 0.0, 0.0, 0.0, 0.4773, 0.5491, 0.255, 0.8081, 0.5803, 10.9224, 1.5, 0.2335
20.6836, 145.4886, 0.0642, 0.0, 0.0, 0.0, 0.4315, 0.9627, 0.2979, 1.8209, 0.6221, 8.9392, 2.75, 0.2711
10.4051, 106.9709, 0.1189, 0.0, 0.0, 0.0, 1.1095, 1.0897, 0.5477, 1.3748, 0.6185, 10.2514, 1.875, 0.2725
