Start Index, End Index, Length
0, 1252, 1253
1253, 2504, 1252
2505, 3756, 1252
3757, 5009, 1253
5010, 6259, 1250
6260, 7511, 1252
7512, 8763, 1252
8764, 10015, 1252
10016, 11267, 1252
11268, 12520, 1253
12521, 13772, 1252
13773, 15024, 1252
15025, 16276, 1252
16277, 17528, 1252
17529, 18780, 1252
18781, 20031, 1251
20032, 21283, 1252
21284, 22535, 1252
22536, 23787, 1252
23788, 25039, 1252
25040, 26290, 1251
26291, 27542, 1252
27543, 28794, 1252
28795, 30044, 1250
30045, 31296, 1252
31297, 32548, 1252
32549, 33801, 1253
33802, 35053, 1252
35054, 36305, 1252
36306, 37557, 1252
37558, 38809, 1252
38810, 40061, 1252
40062, 41313, 1252
41314, 42566, 1253
42567, 43818, 1252
43819, 45070, 1252
45071, 46320, 1250
46321, 47572, 1252
47573, 48825, 1253
48826, 50077, 1252
50078, 51329, 1252
51330, 52581, 1252
52582, 53833, 1252
53834, 55083, 1250
55084, 56336, 1253
56337, 57586, 1250
57587, 58838, 1252
58839, 60090, 1252
60091, 61342, 1252
61343, 62594, 1252
62595, 63847, 1253
63848, 65097, 1250
65098, 66349, 1252
66350, 67603, 1254
67604, 68855, 1252
68856, 70107, 1252
70108, 71358, 1251
71359, 72610, 1252
72611, 73862, 1252
73863, 75114, 1252
75115, 76368, 1254
76369, 77618, 1250
77619, 78869, 1251
78870, 80123, 1254
80124, 81373, 1250
81374, 82627, 1254
82628, 83879, 1252
83880, 85131, 1252
85132, 86385, 1254
86386, 87637, 1252
87638, 88891, 1254
88892, 90142, 1251
90143, 91394, 1252
91395, 92646, 1252
92647, 93898, 1252
93899, 95150, 1252
95151, 96404, 1254
96405, 97658, 1254
97659, 98912, 1254
98913, 100163, 1251
100164, 101417, 1254
101418, 102671, 1254
102672, 103923, 1252
103924, 105175, 1252
105176, 106425, 1250
106426, 107678, 1253
107679, 108932, 1254
108933, 110184, 1252
110185, 111436, 1252
111437, 112688, 1252
112689, 113940, 1252
113941, 115192, 1252
115193, 116444, 1252
116445, 117697, 1253
117698, 118951, 1254
118952, 120200, 1249
120201, 121453, 1253
121454, 122707, 1254
122708, 123959, 1252
123960, 125211, 1252
125212, 126465, 1254
126466, 127715, 1250
127716, 128967, 1252
128968, 130221, 1254
130222, 131474, 1253
131475, 132726, 1252
132727, 133980, 1254
133981, 135233, 1253
135234, 136485, 1252
136486, 137737, 1252
137738, 138991, 1254
138992, 140243, 1252
140244, 141495, 1252
141496, 142749, 1254
142750, 143999, 1250
144000, 145253, 1254
145254, 146506, 1253
146507, 147757, 1251
147758, 149010, 1253
149011, 150262, 1252
