alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
1103.7, 924.5096, 0.0021, 0.0, 0.0, 0.0, 0.0288, 0.0022, 0.002, 0.0456, 0.009, 107.0101, 2.5, 0.6435
2.9487, 5.1395, 1.3689, 0.0, 0.0, 1.0, 2.228, 4.4253, 1.4655, 5.4011, 0.7242, 23.2977, 3.625, 0.4268
2.1034, 1.9646, 1.8437, 1.0, 0.2539, 1.0, 2.3491, 2.9286, 1.2977, 2.792, 0.7722, 17.4122, 3.125, 0.4132
2.8687, 2.4393, 0.9145, 0.0, 0.0, 1.0, 1.2782, 2.7661, 0.8612, 4.9053, 0.7698, 17.8722, 2.375, 0.4234
2.6643, 2.4892, 1.0728, 0.0, 0.0, 0.0, 1.6694, 1.0105, 0.6292, 1.3205, 0.7582, 17.1534, 2.375, 0.3765
20.9854, 2.8959, 1.0696, 0.0, 0.0, 0.0, 0.3465, 0.0754, 0.0619, 0.2225, 0.6349, 16.9752, 2.375, 0.4079
9.2164, 5.2275, 1.0454, 2.0, 0.3906, 0.0, 1.0541, 0.3992, 0.2894, 0.4139, 0.4836, 23.7737, 1.875, 0.3793
3.4764, 4.7826, 0.3799, 1.0, 0.3125, 0.0, 1.1197, 1.8322, 0.6917, 2.6187, 0.6463, 17.0211, 2.125, 0.4134
5.3505, 2.2678, 0.7683, 1.0, 0.293, 0.0, 0.5198, 0.1258, 0.1013, 0.2621, 0.4807, 16.8889, 2.25, 0.3902
2.2708, 4.1008, 0.4077, 1.0, 0.2539, 0.0, 1.5912, 1.8935, 0.8522, 2.5463, 0.6949, 15.022, 2.875, 0.4361
3.1361, 2.4609, 0.5035, 0.0, 0.0, 0.0, 1.3484, 0.8596, 0.5249, 0.9235, 0.7449, 16.4215, 1.375, 0.3918
2.3516, 4.1344, 0.4908, 1.0, 0.2539, 0.0, 1.4894, 1.1673, 0.6532, 1.5456, 0.6694, 20.3088, 2.125, 0.3819
1.4096, 2.358, 0.6136, 0.0, 0.0, 0.0, 2.1716, 1.1617, 0.7563, 1.2146, 0.7654, 14.6478, 2.25, 0.3676
2.7924, 4.2687, 0.3935, 1.0, 0.2539, 1.0, 0.9029, 0.8605, 0.4342, 1.9764, 0.6433, 19.8722, 2.375, 0.3934
5.8245, 3.7303, 0.5024, 1.0, 0.2539, 0.0, 0.5806, 1.3698, 0.3994, 1.8484, 0.6679, 15.1444, 3.5, 0.3916
2.0828, 3.1556, 0.397, 1.0, 0.2539, 0.0, 1.4728, 1.1881, 0.6533, 1.7159, 0.6788, 16.0642, 2.75, 0.4266
1.551, 2.6583, 0.4254, 1.0, 0.3711, 1.0, 1.5916, 0.7966, 0.5253, 1.3434, 0.6696, 14.5957, 2.75, 0.4279
3.2198, 2.5466, 0.5329, 0.0, 0.0, 0.0, 1.2495, 0.8212, 0.4845, 2.1132, 0.7077, 15.4514, 3.75, 0.4644
3.8056, 5.3346, 0.3816, 1.0, 0.2344, 0.0, 0.8113, 0.8605, 0.4175, 1.3601, 0.6753, 14.4, 5.75, 0.4265
1.8505, 2.9549, 0.3038, 1.0, 0.332, 1.0, 1.4372, 0.6977, 0.4633, 1.0205, 0.6748, 12.6268, 3.75, 0.477
2.4236, 2.735, 0.6111, 1.0, 0.3125, 0.0, 1.7401, 1.3528, 0.7611, 1.9763, 0.6835, 13.7519, 3.875, 0.4016
3.339, 3.2264, 0.4421, 2.0, 0.2637, 0.0, 0.9899, 0.8801, 0.4645, 1.1458, 0.6144, 17.8124, 2.0, 0.4468
3.185, 4.5904, 0.6818, 2.0, 0.2832, 0.0, 1.7525, 0.8876, 0.5889, 1.0431, 0.6039, 17.9204, 2.0, 0.381
4.4231, 4.9787, 0.3422, 1.0, 0.2539, 0.0, 0.6538, 1.0358, 0.3982, 1.7018, 0.6593, 16.0232, 3.0, 0.4466
23.8375, 3.4854, 0.345, 1.0, 0.2539, 0.0, 0.253, 0.0646, 0.0514, 0.2018, 0.5065, 14.8793, 3.125, 0.4055
