alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
9840.0, 12339.0, 0.0018, 0.0, 0.0, 0.0, 0.0256, 0.002, 0.0018, 0.0464, 0.0264, 20.9661, 2.625, 0.5916
9.1127, 12.0979, 0.2095, 0.0, 0.0, 0.0, 1.0863, 0.6866, 0.3979, 1.2639, 0.7092, 8.8572, 2.875, 0.392
22.0801, 10.2831, 0.3509, 1.0, 0.1367, 0.0, 0.8614, 0.5087, 0.3186, 0.9862, 0.5745, 8.2442, 2.375, 0.3502
8.3222, 6.5344, 0.5243, 0.0, 0.0, 0.0, 2.0535, 2.3518, 1.0885, 2.1733, 0.7635, 9.3424, 3.5, 0.3792
18.4912, 7.2774, 0.3295, 1.0, 0.1367, 0.0, 1.2851, 0.9422, 0.5418, 1.1021, 0.6598, 7.4681, 1.875, 0.3858
9.2, 12.0476, 0.2695, 0.0, 0.0, 0.0, 1.6112, 1.2646, 0.7035, 1.6512, 0.7636, 7.2319, 2.625, 0.362
18.1444, 15.595, 0.2049, 1.0, 0.1758, 0.0, 1.0105, 0.6004, 0.3734, 0.6951, 0.6759, 6.9083, 2.625, 0.404
5.5257, 6.0933, 0.4762, 0.0, 0.0, 0.0, 2.9726, 1.6313, 1.0473, 1.2451, 0.7567, 7.3999, 2.375, 0.3724
20867.0, 25895.0, 0.2793, 1.0, 0.5469, 0.0, 0.7796, 0.5429, 0.3201, 1.0988, 0.0212, 15441.0, 2.125, 0.4063
18.492, 15.8599, 0.25, 1.0, 0.1758, 0.0, 1.0058, 0.2691, 0.2091, 0.408, 0.6188, 8.4394, 2.625, 0.3522
7.4744, 13.5763, 0.1713, 0.0, 0.0, 0.0, 2.0437, 1.2158, 0.7417, 1.5279, 0.7053, 7.762, 2.25, 0.3498
11.8834, 13.6135, 0.2416, 1.0, 0.2148, 0.0, 1.2694, 1.3825, 0.6595, 1.339, 0.6478, 8.3426, 1.0, 0.4037
7.2247, 16.2, 0.2604, 0.0, 0.0, 0.0, 2.2037, 1.2427, 0.7937, 0.8418, 0.7158, 6.9093, 3.5, 0.3602
10.4452, 19.8533, 0.2226, 1.0, 0.1758, 0.0, 1.4758, 0.5233, 0.3854, 0.736, 0.7193, 7.8332, 2.125, 0.3306
6.8356, 15.5803, 0.1962, 0.0, 0.0, 0.0, 2.1878, 1.042, 0.7057, 0.9564, 0.7021, 6.625, 2.5, 0.3844
6.3326, 8.3441, 0.4123, 1.0, 0.1953, 0.0, 2.1522, 1.0063, 0.6775, 1.0741, 0.689, 8.7056, 2.5, 0.3743
7.9822, 16.5744, 0.1997, 2.0, 0.3906, 0.0, 1.8585, 1.5966, 0.8587, 2.0308, 0.6751, 7.7867, 2.875, 0.4159
8.348, 14.2949, 0.5825, 0.0, 0.0, 0.0, 3.377, 2.5421, 1.4443, 1.7472, 0.6797, 14.1787, 4.75, 0.4063
19182.0, 22902.0, 0.31, 3.0, 0.651, 0.0, 0.8442, 0.6063, 0.3528, 1.0851, 0.0209, 15302.0, 2.0, 0.3885
11.3669, 5.5513, 0.2438, 2.0, 0.332, 0.0, 1.9461, 1.544, 0.8583, 1.899, 0.3492, 11.9506, 4.0, 0.3917
188.509, 40603.0, 0.1613, 4.0, 0.3711, 0.0, 3.8455, 4.2152, 1.9943, 3.334, 0.0936, 10293.0, 1.75, 0.3718
9.6291, 14.803, 0.3015, 1.0, 0.3125, 0.0, 1.6751, 1.3071, 0.7325, 1.2145, 0.6098, 7.6708, 3.5, 0.3734
11.009, 20.7423, 0.2411, 1.0, 0.2148, 0.0, 1.7857, 1.2987, 0.7471, 1.4763, 0.6517, 9.2313, 4.375, 0.4363
10.0187, 13.3255, 0.2723, 0.0, 0.0, 0.0, 1.5782, 1.5093, 0.7683, 1.6073, 0.6803, 8.6293, 1.875, 0.3981
19.9064, 11.3471, 0.374, 1.0, 0.1367, 0.0, 1.2959, 1.3497, 0.661, 1.6835, 0.665, 9.6723, 1.875, 0.3836
