Question Generated, Question Reported, Arithmetic Question, Answer (1 = Correct, 0 = Incorrect)
2022-03-12T15:44:49.520382, 2022-03-12T15:44:59.522293, 21 - 51 = -30, 0
2022-03-12T15:44:59.522455, 2022-03-12T15:45:09.522431, 51 - 79 = -28, 0
2022-03-12T15:45:09.522494, 2022-03-12T15:45:19.522775, 93 * 5 = 465, 0
2022-03-12T15:45:19.522865, 2022-03-12T15:45:29.521942, 69 + 2 = 71, 0
2022-03-12T15:45:29.522005, 2022-03-12T15:45:39.523268, 2 + 78 = 80, 0
2022-03-12T15:45:39.523414, 2022-03-12T15:45:49.523477, 52 + 90 = 142, 0
2022-03-12T15:45:49.523912, 2022-03-12T15:45:59.523602, 74 * 2 = 148, 0
2022-03-12T15:45:59.523694, 2022-03-12T15:46:09.523464, 94 * 8 = 752, 0
2022-03-12T15:46:09.523532, 2022-03-12T15:46:19.523179, 22 + 28 = 50, 0
2022-03-12T15:46:19.523245, 2022-03-12T15:46:29.524319, 57 * 6 = 342, 0
2022-03-12T15:46:29.524416, 2022-03-12T15:46:39.524482, 92 * 2 = 184, 0
2022-03-12T15:46:39.524574, 2022-03-12T15:46:49.524823, 18 + 7 = 25, 0
