alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
1974.5, 2516.2, 0.0018, 0.0, 0.0, 0.0, 0.0266, 0.002, 0.0019, 0.0456, 0.0126, 112.2218, 1.5, 0.6135
10.9289, 57.9276, 0.1187, 0.0, 0.0, 0.0, 0.379, 0.604, 0.2329, 1.084, 0.5716, 5.8189, 1.0, 0.4144
40.4403, 90.1063, 0.0797, 0.0, 0.0, 0.0, 0.1451, 2.2856, 0.1363, 7.349, 0.6194, 7.8644, 0.875, 0.441
23.945, 77.5916, 0.0939, 0.0, 0.0, 0.0, 0.1652, 1.1631, 0.1446, 3.1166, 0.6059, 6.7999, 4.75, 0.489
16.0602, 29.4981, 0.1593, 0.0, 0.0, 0.0, 0.2943, 0.9003, 0.221, 1.8095, 0.5859, 6.3868, 2.25, 0.4534
4.8884, 12.5949, 0.3476, 0.0, 0.0, 0.0, 0.9509, 0.6815, 0.3951, 0.884, 0.5856, 8.6632, 1.375, 0.4214
5.9227, 4.0447, 0.5875, 0.0, 0.0, 0.0, 0.6102, 0.25, 0.1768, 0.4284, 0.5127, 7.4129, 2.875, 0.4802
7.7032, 31.9483, 0.1701, 0.0, 0.0, 0.0, 0.4956, 0.259, 0.17, 0.3679, 0.5685, 6.6906, 2.375, 0.4317
7.3237, 13.36, 0.2266, 0.0, 0.0, 0.0, 0.5651, 0.577, 0.2853, 0.8503, 0.55, 6.2865, 2.0, 0.4591
5.865, 18.5926, 0.183, 0.0, 0.0, 0.0, 0.4664, 0.5083, 0.2425, 0.8177, 0.4995, 5.9919, 3.0, 0.4895
6.9202, 32.3688, 0.1398, 0.0, 0.0, 0.0, 0.3572, 0.3145, 0.1667, 0.7235, 0.567, 5.8305, 2.125, 0.4364
7.0078, 15.8042, 0.2407, 1.0, 0.2539, 0.0, 0.4381, 0.23, 0.1506, 0.4182, 0.5133, 5.3854, 2.375, 0.4398
4.8666, 14.6908, 0.2055, 0.0, 0.0, 0.0, 0.6965, 0.2784, 0.1988, 0.2899, 0.5935, 5.031, 2.125, 0.4827
11.7973, 35.102, 0.1612, 0.0, 0.0, 0.0, 0.3435, 0.9084, 0.2481, 2.2266, 0.6064, 5.6746, 2.125, 0.4514
16.0441, 61.491, 0.1064, 0.0, 0.0, 0.0, 0.207, 0.9237, 0.169, 2.1521, 0.5897, 6.2435, 2.875, 0.3861
5.3002, 12.4048, 0.2162, 0.0, 0.0, 0.0, 0.8578, 0.4783, 0.3063, 0.7708, 0.5703, 4.48, 1.75, 0.4351
15.3666, 122.5707, 0.0554, 0.0, 0.0, 0.0, 0.2664, 1.3322, 0.2219, 3.1754, 0.6334, 6.3545, 2.875, 0.4272
3.4753, 17.1939, 0.227, 0.0, 0.0, 0.0, 0.9882, 0.9379, 0.4772, 1.4786, 0.5967, 6.1392, 2.125, 0.453
6.0474, 26.1686, 0.2081, 0.0, 0.0, 0.0, 0.8548, 0.6227, 0.3534, 0.9369, 0.5855, 4.6104, 2.625, 0.4312
41.362, 77.4931, 0.0842, 0.0, 0.0, 0.0, 0.1183, 0.7862, 0.1025, 3.3658, 0.6057, 7.3113, 2.5, 0.4201
20.5079, 66.3219, 0.1257, 0.0, 0.0, 0.0, 0.1995, 2.4241, 0.1842, 6.0872, 0.4741, 7.0526, 2.0, 0.436
18.5696, 95.4019, 0.0618, 0.0, 0.0, 0.0, 0.2342, 1.6078, 0.2044, 3.5281, 0.5479, 5.8319, 1.875, 0.448
15.8767, 55.2424, 0.0971, 0.0, 0.0, 0.0, 0.237, 1.4807, 0.2042, 3.4144, 0.5843, 5.5989, 3.125, 0.4762
15.7971, 57.8233, 0.096, 0.0, 0.0, 0.0, 0.219, 1.428, 0.1897, 3.5115, 0.5753, 8.1061, 1.875, 0.4355
9.6021, 56.6999, 0.099, 0.0, 0.0, 0.0, 0.4025, 1.7774, 0.3277, 3.5674, 0.6008, 5.1024, 2.375, 0.3974
26.4869, 87.6046, 0.1087, 0.0, 0.0, 0.0, 0.1888, 1.1913, 0.1629, 3.5324, 0.6098, 6.0392, 3.75, 0.5055
12.7048, 26.8082, 0.1492, 0.0, 0.0, 0.0, 0.2481, 0.5648, 0.1724, 1.5443, 0.5889, 3.8873, 3.625, 0.4361
14.5693, 47.2281, 0.1296, 0.0, 0.0, 0.0, 0.2736, 1.872, 0.2377, 2.7201, 0.6056, 6.4165, 1.625, 0.4189
