alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
2541.4, 4057.7, 0.0018, 1.0, 0.2539, 0.0, 0.0284, 0.0022, 0.002, 0.0458, 0.0092, 88.3222, 2.5, 0.5903
7.8126, 6.3563, 0.3737, 1.0, 0.2539, 0.0, 1.4056, 1.2973, 0.6693, 2.2048, 0.6107, 22.335, 2.875, 0.4158
5.7603, 3.2198, 0.4754, 1.0, 0.2734, 0.0, 1.5855, 0.943, 0.5897, 1.191, 0.5118, 15.3186, 4.125, 0.396
8.9442, 6.7491, 0.2893, 2.0, 0.4883, 0.0, 0.8222, 0.4228, 0.2788, 0.8186, 0.4082, 16.9546, 2.625, 0.4938
10.1437, 5.8563, 0.4648, 1.0, 0.293, 0.0, 1.2654, 1.0197, 0.5611, 1.8669, 0.5087, 13.7741, 2.625, 0.3778
18.9353, 17.127, 0.1653, 1.0, 0.293, 0.0, 0.6392, 0.557, 0.2957, 0.8324, 0.3349, 14.9604, 2.5, 0.4146
