alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
15.6791, 844.4139, 0.0022, 1.0, 0.2539, 0.0, 0.6295, 0.1133, 0.0952, 0.108, 0.0145, 53.7525, 1.5, 0.4457
3.2196, 14.4349, 0.2679, 1.0, 0.2539, 0.0, 1.3115, 0.5559, 0.3902, 1.0622, 0.568, 33.699, 3.625, 0.4199
3.1929, 20.1142, 0.308, 0.0, 0.0, 0.0, 1.9629, 0.5999, 0.4541, 0.7478, 0.6549, 42.1523, 2.625, 0.3792
14.4312, 15.7013, 0.3923, 1.0, 0.5078, 0.0, 0.9177, 0.9533, 0.4624, 1.2037, 0.5997, 38.5057, 2.0, 0.381
3.3118, 15.731, 0.2333, 1.0, 0.2539, 0.0, 1.1428, 0.6147, 0.3981, 0.9035, 0.5917, 25.2076, 2.375, 0.4353
4.1434, 21.2802, 0.2802, 1.0, 0.293, 0.0, 1.1573, 0.4396, 0.3165, 0.3832, 0.5035, 43.5458, 2.125, 0.3898
3.6225, 23.6526, 0.3341, 0.0, 0.0, 0.0, 2.3868, 1.7459, 1.0054, 1.611, 0.7451, 44.4033, 4.0, 0.3949
4.5143, 17.343, 0.324, 0.0, 0.0, 0.0, 1.2154, 0.6049, 0.4029, 0.8666, 0.5139, 33.0252, 3.375, 0.3837
6.3843, 20.3071, 0.2597, 1.0, 0.2734, 0.0, 1.0227, 1.4418, 0.5977, 2.3154, 0.5766, 58.4149, 1.5, 0.4122
3.308, 20.7747, 0.3608, 0.0, 0.0, 1.0, 1.5289, 1.0134, 0.6095, 1.304, 0.6818, 45.7549, 1.75, 0.4178
4.2446, 20.3982, 0.2519, 1.0, 0.3438, 0.0, 1.5508, 0.6985, 0.4794, 1.0033, 0.5655, 54.3896, 3.875, 0.4722
3.4063, 13.3603, 0.339, 0.0, 0.0, 0.0, 1.2008, 0.6554, 0.4234, 0.8838, 0.548, 38.3608, 1.75, 0.4147
4.5324, 27.1264, 0.1743, 0.0, 0.0, 0.0, 1.247, 0.9412, 0.5363, 1.2764, 0.6055, 36.3788, 2.5, 0.4069
3.5752, 14.8021, 0.3855, 1.0, 0.3125, 0.0, 1.4812, 0.5023, 0.3749, 0.4996, 0.5688, 35.728, 3.875, 0.4779
6.1758, 18.0971, 0.3397, 0.0, 0.0, 0.0, 1.0192, 0.8705, 0.4635, 1.1518, 0.609, 37.6798, 2.125, 0.3903
4.6188, 23.8892, 0.4149, 2.0, 0.4199, 0.0, 1.3207, 0.5388, 0.3826, 0.8252, 0.4862, 68.2349, 3.25, 0.4405
5.0886, 18.4616, 0.3197, 0.0, 0.0, 0.0, 0.9175, 0.6063, 0.363, 1.1202, 0.6434, 40.0219, 3.75, 0.4932
4.5068, 29.1477, 0.3499, 0.0, 0.0, 0.0, 1.6778, 0.7295, 0.4904, 0.8613, 0.5712, 71.7845, 3.125, 0.4714
9.3875, 23.3837, 0.2418, 1.0, 0.293, 0.0, 0.8969, 0.716, 0.3973, 1.1099, 0.5699, 43.6001, 3.5, 0.4656
5.1259, 24.2578, 0.3599, 1.0, 0.7422, 0.0, 1.262, 0.8122, 0.4931, 1.1641, 0.4876, 63.2275, 3.25, 0.4211
3.5773, 22.297, 0.4422, 1.0, 0.293, 0.0, 1.631, 0.886, 0.5655, 1.0583, 0.5056, 69.9145, 1.375, 0.4244
4.3647, 22.617, 0.31, 1.0, 0.4688, 0.0, 1.2013, 0.8984, 0.5064, 0.8854, 0.5675, 42.5288, 2.75, 0.4446
24.0788, 26.6975, 0.2893, 1.0, 0.2344, 0.0, 0.7682, 0.6807, 0.3609, 1.1469, 0.4441, 52.8078, 3.25, 0.5051
3.2353, 23.7161, 0.3488, 0.0, 0.0, 0.0, 2.1424, 1.5585, 0.9016, 1.9308, 0.6585, 51.3706, 3.5, 0.4284
5.2021, 33.4888, 0.2199, 0.0, 0.0, 0.0, 1.0364, 0.7959, 0.4497, 1.3233, 0.6383, 58.7618, 3.125, 0.4556
