alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
1943.7, 1078.4, 0.0033, 1.0, 0.2275, 0.0, 0.184, 0.0384, 0.0315, 0.205, 0.0142, 188.1775, 1.25, 0.5378
1370.2, 22.0656, 0.45, 5.0, 0.0, 0.0, 0.694, 0.5245, 0.2637, 0.3127, 0.6086, 65.0857, 4.125, 0.4559
2170.8, 29.1395, 0.5988, 0.0, 0.0, 0.0, 0.8193, 0.6503, 0.3624, 0.6106, 0.5733, 110.6766, 2.5, 0.3921
166.0263, 28.2442, 0.4096, 0.0, 0.0, 0.0, 1.3789, 0.5102, 0.3522, 0.2313, 0.5739, 81.0688, 3.75, 0.4088
5.3296, 30.0242, 0.3078, 0.0, 0.0, 0.0, 1.2194, 0.919, 0.5235, 0.8137, 0.6358, 70.7213, 3.5, 0.4265
6.6534, 34.9855, 0.4826, 1.0, 0.5273, 0.0, 1.1559, 0.9021, 0.4785, 0.5197, 0.5754, 89.9853, 3.75, 0.4098
4.5242, 36.1637, 0.4806, 0.0, 0.0, 0.0, 0.9854, 0.7409, 0.421, 1.3455, 0.7132, 117.4395, 4.5, 0.4285
3.887, 32.7345, 0.5064, 0.0, 0.0, 0.0, 1.585, 0.9582, 0.5927, 0.9616, 0.7396, 83.4255, 3.625, 0.4365
3.9767, 30.3559, 0.3441, 0.0, 0.0, 0.0, 1.7036, 0.7931, 0.541, 0.8924, 0.6018, 60.9478, 3.75, 0.4897
5.3076, 29.8076, 0.4713, 1.0, 0.0, 0.0, 1.0739, 0.9043, 0.4909, 1.374, 0.6505, 99.7074, 2.125, 0.3889
5.6836, 37.2618, 0.4008, 0.0, 0.0, 0.0, 1.0385, 0.5829, 0.3727, 0.9495, 0.6339, 102.3268, 2.875, 0.4781
4.0905, 37.2124, 0.4491, 0.0, 0.0, 0.0, 1.364, 1.0659, 0.5954, 0.9737, 0.6817, 101.5699, 3.125, 0.4218
6.3839, 28.3976, 0.5405, 1.0, 0.332, 0.0, 1.8198, 1.3639, 0.7772, 1.7982, 0.6792, 69.4895, 2.375, 0.4183
3.9482, 33.1302, 0.4736, 1.0, 0.3125, 0.0, 1.9278, 1.3238, 0.7848, 1.8924, 0.6004, 75.9627, 2.0, 0.4016
36.1137, 28.091, 0.4925, 2.0, 0.7812, 0.0, 0.6355, 0.3491, 0.2248, 0.7023, 0.3968, 71.373, 3.0, 0.4389
5.6209, 27.7941, 0.3878, 1.0, 0.3711, 0.0, 0.7054, 0.4793, 0.2853, 0.8188, 0.5064, 69.2423, 3.5, 0.4349
8.0202, 25.3405, 0.4913, 1.0, 0.293, 0.0, 1.032, 1.066, 0.5238, 1.6002, 0.5985, 81.4048, 3.875, 0.426
3.7784, 30.8099, 0.5156, 1.0, 0.4492, 0.0, 1.9452, 1.069, 0.6851, 0.8241, 0.6166, 75.4336, 2.125, 0.4124
3.9191, 36.0525, 0.5026, 0.0, 0.0, 0.0, 1.102, 0.5754, 0.3775, 0.8928, 0.6699, 116.5144, 2.375, 0.4142
4.1137, 35.2986, 0.3912, 0.0, 0.0, 0.0, 0.9272, 0.8122, 0.4326, 1.5347, 0.6458, 107.5214, 3.625, 0.428
3.3461, 27.292, 0.357, 1.0, 0.332, 0.0, 1.4341, 1.1379, 0.6344, 1.8996, 0.6466, 60.9792, 2.5, 0.4421
5.6711, 22.8706, 0.6125, 0.0, 0.0, 0.0, 1.1044, 0.7834, 0.4564, 1.177, 0.7143, 93.0753, 2.25, 0.4026
4.6575, 40.4179, 0.5142, 0.0, 0.0, 0.0, 1.1463, 0.7792, 0.4555, 1.5028, 0.7279, 127.6202, 4.375, 0.4428
5.2939, 40.206, 0.2721, 1.0, 0.3906, 0.0, 1.0157, 0.8772, 0.4707, 1.2417, 0.5979, 84.5606, 3.375, 0.4094
4.1569, 40.5856, 0.4423, 0.0, 0.0, 0.0, 1.4194, 0.8064, 0.4736, 0.2017, 0.5233, 126.7073, 4.75, 0.4382
