Start Index, End Index, Length
0, 1253, 1254
1254, 2505, 1252
2506, 3757, 1252
3758, 5009, 1252
5010, 6261, 1252
6262, 7513, 1252
7514, 8765, 1252
8766, 10018, 1253
10019, 11270, 1252
11271, 12520, 1250
12521, 13774, 1254
13775, 15026, 1252
15027, 16278, 1252
16279, 17529, 1251
17530, 18781, 1252
18782, 20033, 1252
20034, 21285, 1252
21286, 22537, 1252
22538, 23789, 1252
23790, 25042, 1253
25043, 26294, 1252
26295, 27548, 1254
27549, 28800, 1252
28801, 30052, 1252
30053, 31304, 1252
31305, 32556, 1252
32557, 33808, 1252
33809, 35061, 1253
35062, 36313, 1252
36314, 37565, 1252
37566, 38817, 1252
38818, 40069, 1252
40070, 41321, 1252
41322, 42572, 1251
42573, 43824, 1252
43825, 45078, 1254
45079, 46328, 1250
46329, 47580, 1252
47581, 48834, 1254
48835, 50085, 1251
50086, 51337, 1252
51338, 52589, 1252
52590, 53841, 1252
53842, 55093, 1252
55094, 56345, 1252
56346, 57597, 1252
57598, 58850, 1253
58851, 60102, 1252
60103, 61352, 1250
61353, 62604, 1252
62605, 63856, 1252
63857, 65108, 1252
65109, 66361, 1253
66362, 67611, 1250
67612, 68863, 1252
68864, 70115, 1252
70116, 71365, 1250
71366, 72618, 1253
72619, 73870, 1252
73871, 75122, 1252
75123, 76372, 1250
76373, 77624, 1252
77625, 78877, 1253
78878, 80129, 1252
80130, 81381, 1252
81382, 82633, 1252
82634, 83885, 1252
83886, 85137, 1252
85138, 86389, 1252
86390, 87640, 1251
87641, 88892, 1252
88893, 90144, 1252
90145, 91396, 1252
91397, 92648, 1252
92649, 93900, 1252
93901, 95153, 1253
95154, 96405, 1252
96406, 97657, 1252
97658, 98907, 1250
98908, 100159, 1252
100160, 101413, 1254
101414, 102666, 1253
102667, 103916, 1250
103917, 105168, 1252
105169, 106420, 1252
106421, 107674, 1254
107675, 108926, 1252
108927, 110177, 1251
110178, 111429, 1252
111430, 112681, 1252
112682, 113935, 1254
113936, 115185, 1250
115186, 116437, 1252
116438, 117691, 1254
117692, 118945, 1254
118946, 120198, 1253
120199, 121448, 1250
121449, 122700, 1252
122701, 123952, 1252
123953, 125198, 1246
125199, 126448, 1250
126449, 127702, 1254
127703, 128954, 1252
128955, 130208, 1254
130209, 131460, 1252
131461, 132713, 1253
132714, 133962, 1249
133963, 135216, 1254
135217, 136468, 1252
136469, 137720, 1252
137721, 138971, 1251
138972, 140225, 1254
140226, 141477, 1252
141478, 142731, 1254
142732, 143981, 1250
143982, 145233, 1252
145234, 146486, 1253
146487, 147740, 1254
147741, 148992, 1252
148993, 150246, 1254
