alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
3064.2, 10823.0, 0.0018, 1.0, 0.1758, 0.0, 0.0259, 0.002, 0.0018, 0.0458, 0.0086, 206.8977, 1.375, 0.6455
17.1024, 9.5015, 0.5078, 4.0, 0.1953, 0.0, 0.7432, 0.4818, 0.2883, 1.1748, 0.4272, 11.0184, 2.25, 0.3802
11.3318, 7.7222, 0.5433, 2.0, 0.2148, 0.0, 0.9869, 0.7929, 0.4396, 1.0408, 0.5556, 11.6699, 3.75, 0.4154
7.9162, 7.5418, 0.3556, 1.0, 0.2539, 0.0, 0.9782, 0.4089, 0.2878, 0.4156, 0.5078, 12.1365, 2.625, 0.407
8.1224, 7.9738, 0.4121, 2.0, 0.3418, 0.0, 0.9849, 0.8238, 0.4486, 1.3888, 0.4257, 11.7395, 1.875, 0.4108
