alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
1275.5, 158.3519, 0.0191, 0.0, 0.0, 0.0, 0.0448, 0.0035, 0.0032, 0.0471, 0.01, 97.868, 2.75, 0.5645
22.6582, 19.9372, 0.8489, 3.0, 0.3132, 0.0, 1.1688, 0.57, 0.3831, 0.8375, 0.546, 29.5891, 2.375, 0.4472
16.1685, 21.6284, 0.7899, 2.0, 0.2311, 0.0, 1.5304, 0.8944, 0.5618, 0.713, 0.594, 24.9357, 2.0, 0.3891
32.3877, 106.3063, 0.2656, 0.0, 0.0, 0.0, 0.7461, 0.5654, 0.3214, 0.6856, 0.5658, 30.4896, 1.375, 0.3336
34.4053, 61.4084, 0.2703, 0.0, 0.0, 0.0, 0.522, 0.9477, 0.3351, 1.4448, 0.7465, 26.5547, 5.5, 0.3458
33.3571, 56.3522, 0.4087, 0.0, 0.0, 0.0, 0.7205, 2.1086, 0.535, 3.2413, 0.7381, 24.0006, 1.5, 0.2424
38.0539, 36.6079, 0.3978, 0.0, 0.0, 0.0, 0.4644, 1.9238, 0.3741, 2.8603, 0.7141, 27.8993, 3.625, 0.2683
28.0218, 51.652, 0.2329, 0.0, 0.0, 0.0, 0.5774, 1.2423, 0.3942, 1.5914, 0.6623, 24.1358, 2.875, 0.2882
18.2501, 55.4507, 0.3807, 0.0, 0.0, 0.0, 1.0263, 1.3963, 0.5915, 2.192, 0.7171, 24.9694, 2.75, 0.3194
40.4009, 69.5802, 0.1746, 0.0, 0.0, 0.0, 0.3731, 1.2894, 0.2884, 2.7006, 0.6851, 17.8587, 3.125, 0.2982
45.5097, 54.0328, 0.3318, 0.0, 0.0, 0.0, 0.5108, 1.0409, 0.342, 1.2758, 0.6973, 30.9269, 1.0, 0.2805
21.4211, 87.6311, 0.2581, 0.0, 0.0, 0.0, 1.1032, 1.534, 0.6408, 2.3309, 0.5862, 26.1716, 1.875, 0.2751
22.3405, 83.4365, 0.2272, 0.0, 0.0, 0.0, 1.1148, 1.0103, 0.5296, 1.2076, 0.6217, 30.7223, 2.375, 0.2607
26.2992, 54.7911, 0.3451, 0.0, 0.0, 0.0, 0.7725, 1.182, 0.4671, 1.8503, 0.6697, 22.0553, 2.0, 0.266
19.2887, 92.3943, 0.1818, 0.0, 0.0, 0.0, 0.9753, 1.0324, 0.5, 0.9951, 0.6433, 22.8157, 1.625, 0.3043
25.3919, 38.0095, 0.4689, 0.0, 0.0, 0.0, 0.7096, 0.9318, 0.4028, 1.1864, 0.7041, 21.5244, 1.25, 0.3385
28.9926, 33.178, 0.3784, 0.0, 0.0, 0.0, 0.6748, 1.1289, 0.422, 1.4271, 0.7178, 18.8455, 1.875, 0.269
17.7517, 57.6743, 0.2003, 0.0, 0.0, 0.0, 1.2737, 2.6843, 0.8637, 3.1322, 0.7216, 22.5699, 1.5, 0.2711
22.6413, 24.1244, 0.4182, 0.0, 0.0, 0.0, 0.651, 1.369, 0.4412, 1.725, 0.6895, 18.2789, 1.875, 0.2587
23.6067, 72.6671, 0.2283, 0.0, 0.0, 0.0, 0.8461, 2.1263, 0.6051, 2.4916, 0.6549, 19.8489, 1.0, 0.2449
25.7367, 36.5662, 0.334, 0.0, 0.0, 0.0, 0.6843, 1.141, 0.4277, 1.6225, 0.6666, 22.5015, 1.5, 0.3152
29.7415, 37.9153, 0.3713, 0.0, 0.0, 0.0, 0.6842, 1.1252, 0.4244, 1.4046, 0.7255, 20.8595, 1.25, 0.305
28.2945, 46.9233, 0.2444, 0.0, 0.0, 0.0, 0.5323, 0.9771, 0.3442, 1.1309, 0.5729, 18.304, 3.25, 0.3158
21.7656, 49.159, 0.2682, 1.0, 0.0, 0.0, 0.7925, 0.837, 0.4063, 1.3066, 0.5843, 21.7113, 3.25, 0.4093
34.1895, 48.2129, 0.3632, 0.0, 0.0, 0.0, 0.5795, 1.9787, 0.4468, 2.4378, 0.6564, 29.5859, 1.375, 0.2731
