alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
1168.8, 263.6852, 0.004, 0.0, 0.0, 0.0, 0.0483, 0.0037, 0.0035, 0.0468, 0.009, 102.4093, 1.875, 0.588
176.5175, 27.7055, 0.1209, 0.0, 0.0, 0.0, 1.0915, 0.3047, 0.2374, 0.1043, 0.1411, 14.4657, 1.875, 0.4629
3.716, 5.7219, 0.5561, 0.0, 0.0, 0.0, 2.4809, 0.8073, 0.6091, 1.1967, 0.5388, 8.3367, 2.875, 0.4266
9.6718, 18.5289, 0.3188, 0.0, 0.0, 0.0, 0.929, 2.0639, 0.634, 3.6237, 0.6756, 7.4264, 2.625, 0.4224
4.833, 11.0386, 0.4069, 0.0, 0.0, 0.0, 1.5354, 1.1711, 0.6629, 1.3412, 0.6775, 8.1975, 2.0, 0.4138
7.5242, 12.0461, 0.4675, 0.0, 0.0, 0.0, 1.0088, 1.2643, 0.561, 2.0187, 0.6919, 7.4712, 2.875, 0.4627
8.6303, 14.1075, 0.3259, 0.0, 0.0, 0.0, 0.9241, 1.0287, 0.4867, 1.3767, 0.6863, 8.3647, 2.25, 0.4015
8.3567, 13.9016, 0.3251, 0.0, 0.0, 0.0, 1.0436, 1.7716, 0.6562, 2.0476, 0.6791, 7.2825, 2.625, 0.4297
8.6169, 14.7834, 0.6699, 0.0, 0.0, 0.0, 1.1329, 1.4461, 0.6351, 2.2336, 0.6686, 12.161, 1.5, 0.4429
7.644, 12.8495, 0.3926, 0.0, 0.0, 0.0, 1.2407, 1.5423, 0.6872, 2.2, 0.6868, 9.2636, 1.5, 0.4052
7.3405, 13.6874, 0.3652, 0.0, 0.0, 0.0, 1.1988, 1.809, 0.7203, 2.4489, 0.7071, 8.5075, 1.125, 0.4038
11.432, 21.2536, 0.4341, 0.0, 0.0, 0.0, 0.7581, 1.7625, 0.5301, 3.3847, 0.7137, 13.7255, 2.25, 0.4802
8.6665, 10.8699, 0.4528, 0.0, 0.0, 0.0, 1.0874, 2.6304, 0.7644, 5.681, 0.6983, 9.4248, 2.75, 0.4344
6.8598, 30.0907, 0.1999, 0.0, 0.0, 0.0, 1.1404, 0.7336, 0.4444, 1.2064, 0.676, 10.2096, 0.875, 0.3997
10.9181, 27.8347, 0.2864, 0.0, 0.0, 0.0, 0.7741, 2.3903, 0.5842, 3.3004, 0.6879, 9.6979, 2.25, 0.4511
10.0672, 31.3254, 0.2491, 0.0, 0.0, 0.0, 1.0618, 1.7257, 0.6537, 3.0237, 0.6803, 9.8357, 3.625, 0.4811
9.296, 15.3695, 0.3379, 0.0, 0.0, 0.0, 1.153, 2.4339, 0.7809, 4.8407, 0.6209, 8.8933, 2.875, 0.4575
9.143, 23.4564, 0.3679, 0.0, 0.0, 0.0, 1.0268, 0.9624, 0.4936, 1.4447, 0.6319, 8.9473, 3.625, 0.4087
9.0696, 20.1216, 0.3637, 0.0, 0.0, 0.0, 1.1719, 1.453, 0.6486, 1.7197, 0.6321, 9.8039, 2.75, 0.4196
5.9729, 43.6416, 0.1429, 0.0, 0.0, 0.0, 1.3526, 1.2726, 0.652, 1.7979, 0.5749, 7.8029, 2.625, 0.4254
11.6321, 33.2999, 0.208, 0.0, 0.0, 0.0, 0.8129, 1.5066, 0.528, 2.8431, 0.6584, 8.9074, 1.75, 0.4197
6.8806, 22.5402, 0.2844, 0.0, 0.0, 0.0, 1.262, 2.392, 0.8251, 3.6464, 0.7, 8.284, 2.25, 0.4175
13.8065, 235490.0, 0.4693, 4.0, 0.9017, 0.0, 0.7126, 0.6875, 0.3488, 1.4862, 0.0964, 331150.0, 2.25, 0.43
9.0793, 46.3488, 0.1563, 0.0, 0.0, 0.0, 0.7488, 1.0666, 0.4374, 1.5126, 0.6629, 9.2351, 3.125, 0.4234
12.707, 28.9292, 0.1516, 0.0, 0.0, 0.0, 0.748, 0.9002, 0.4081, 1.2488, 0.6383, 7.9336, 2.25, 0.3857
