Start Index, End Index, Length
0, 1252, 1253
1253, 2504, 1252
2505, 3757, 1253
3758, 5009, 1252
5010, 6261, 1252
6262, 7513, 1252
7514, 8765, 1252
8766, 10017, 1252
10018, 11269, 1252
11270, 12521, 1252
12522, 13773, 1252
13774, 15025, 1252
15026, 16276, 1251
16277, 17528, 1252
17529, 18780, 1252
18781, 20032, 1252
20033, 21286, 1254
21287, 22538, 1252
22539, 23790, 1252
23791, 25041, 1251
25042, 26293, 1252
26294, 27547, 1254
27548, 28798, 1251
28799, 30049, 1251
30050, 31301, 1252
31302, 32552, 1251
32553, 33804, 1252
33805, 35056, 1252
35057, 36308, 1252
36309, 37560, 1252
37561, 38812, 1252
38813, 40065, 1253
40066, 41317, 1252
41318, 42569, 1252
42570, 43821, 1252
43822, 45073, 1252
45074, 46325, 1252
46326, 47578, 1253
47579, 48830, 1252
48831, 50082, 1252
50083, 51332, 1250
51333, 52584, 1252
52585, 53838, 1254
53839, 55090, 1252
55091, 56341, 1251
56342, 57593, 1252
57594, 58845, 1252
58846, 60097, 1252
60098, 61349, 1252
61350, 62601, 1252
62602, 63854, 1253
63855, 65106, 1252
65107, 66358, 1252
66359, 67610, 1252
67611, 68862, 1252
68863, 70114, 1252
70115, 71368, 1254
71369, 72619, 1251
72620, 73871, 1252
73872, 75125, 1254
75126, 76377, 1252
76378, 77631, 1254
77632, 78883, 1252
78884, 80137, 1254
80138, 81389, 1252
81390, 82642, 1253
82643, 83896, 1254
83897, 85150, 1254
85151, 86402, 1252
86403, 87654, 1252
87655, 88906, 1252
88907, 90158, 1252
90159, 91410, 1252
91411, 92662, 1252
92663, 93917, 1255
93918, 95167, 1250
95168, 96421, 1254
96422, 97675, 1254
97676, 98929, 1254
98930, 100181, 1252
100182, 101435, 1254
101436, 102685, 1250
102686, 103937, 1252
103938, 105190, 1253
105191, 106444, 1254
106445, 107696, 1252
107697, 108946, 1250
108947, 110198, 1252
110199, 111452, 1254
111453, 112706, 1254
112707, 113957, 1251
113958, 115211, 1254
115212, 116465, 1254
116466, 117717, 1252
117718, 118971, 1254
118972, 120223, 1252
120224, 121475, 1252
121476, 122729, 1254
122730, 123981, 1252
123982, 125233, 1252
125234, 126486, 1253
126487, 127740, 1254
127741, 128990, 1250
128991, 130242, 1252
130243, 131494, 1252
131495, 132748, 1254
132749, 133999, 1251
134000, 135253, 1254
135254, 136503, 1250
136504, 137757, 1254
137758, 139011, 1254
139012, 140264, 1253
140265, 141517, 1253
141518, 142769, 1252
142770, 144021, 1252
144022, 145274, 1253
145275, 146528, 1254
146529, 147780, 1252
147781, 149030, 1250
149031, 150282, 1252
