alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
4671.0, 3538.2, 0.0018, 0.0, 0.0, 0.0, 0.0257, 0.002, 0.0018, 0.045, 0.0212, 32.54, 2.875, 0.6109
2.4741, 4.4347, 0.6708, 0.0, 0.0, 0.0, 2.4205, 1.3099, 0.8495, 1.4845, 0.5585, 11.2935, 1.625, 0.4197
5.1602, 3.4167, 0.3713, 2.0, 0.2246, 0.0, 1.461, 0.8394, 0.5331, 1.1548, 0.4474, 7.0342, 1.75, 0.4168
3.4219, 3.8026, 0.3559, 0.0, 0.0, 0.0, 1.7943, 1.3107, 0.747, 1.4323, 0.6038, 8.0239, 3.0, 0.3994
4.7707, 4.7136, 0.4451, 1.0, 0.2734, 0.0, 1.1455, 0.7984, 0.4705, 1.5516, 0.4614, 8.1225, 3.875, 0.4892
11.2154, 5.7495, 0.6676, 2.0, 0.293, 0.0, 0.8385, 0.4547, 0.2947, 0.7636, 0.4766, 8.7239, 2.25, 0.4284
