alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
7250.3, 2690.0, 0.0022, 1.0, 0.0, 0.0, 0.0263, 0.002, 0.0019, 0.0457, 0.0087, 525.3441, 3.125, 0.6458
6.1044, 7.3477, 0.6084, 1.0, 0.332, 0.0, 2.2756, 0.9704, 0.6786, 1.0093, 0.7626, 23.0115, 2.75, 0.4213
5.2546, 7.4508, 0.468, 0.0, 0.0, 0.0, 1.6705, 1.9567, 0.9011, 2.3053, 0.896, 21.0291, 3.125, 0.4662
4.0255, 6.5904, 0.6934, 1.0, 0.332, 0.0, 2.6795, 1.4933, 0.9498, 1.1687, 0.7662, 24.788, 3.0, 0.4478
4.0518, 8.5105, 0.5361, 0.0, 0.0, 0.0, 2.5092, 1.7474, 1.0248, 1.6821, 0.8329, 16.6743, 2.75, 0.4253
3.1668, 6.9726, 0.6901, 1.0, 0.293, 0.0, 3.0528, 1.3357, 0.9289, 1.2304, 0.6695, 16.3001, 2.375, 0.4114
3.1013, 6.1394, 0.7499, 0.0, 0.0, 0.0, 3.2111, 2.7854, 1.4914, 3.0593, 0.8379, 15.4911, 2.25, 0.4371
5.7604, 5.2667, 0.5598, 0.0, 0.0, 0.0, 2.0904, 1.4649, 0.8582, 1.2524, 0.7693, 15.9481, 3.375, 0.4078
18.0363, 34757.0, 0.4511, 1.0, 0.8398, 0.0, 0.9398, 0.4285, 0.2941, 0.7395, 0.0894, 56331.0, 3.125, 0.4954
3.8248, 5.0799, 0.5902, 2.0, 0.2734, 0.0, 1.2567, 0.7735, 0.4681, 0.6992, 0.5749, 13.1637, 2.25, 0.4074
7.9292, 4.7134, 0.4278, 0.0, 0.0, 0.0, 1.2508, 0.4995, 0.3513, 1.0583, 0.6458, 10.7875, 3.125, 0.3954
3.2668, 10.6325, 0.4896, 1.0, 0.332, 0.0, 2.1877, 1.6036, 0.902, 1.4522, 0.598, 11.1526, 2.875, 0.4061
4.7566, 8.229, 0.4203, 0.0, 0.0, 0.0, 1.4579, 1.2496, 0.6677, 1.6146, 0.7678, 13.2574, 1.75, 0.4146
3.6698, 6.5971, 0.498, 0.0, 0.0, 0.0, 2.1933, 1.6067, 0.9244, 2.3035, 0.7516, 15.1134, 3.25, 0.3904
2.8579, 8.3466, 0.3521, 0.0, 0.0, 0.0, 2.1699, 1.1243, 0.7291, 1.8372, 0.7811, 16.6644, 3.25, 0.4661
3.5552, 3.891, 0.6397, 0.0, 0.0, 0.0, 1.79, 1.1077, 0.6649, 0.7961, 0.7752, 17.6881, 3.875, 0.4139
186720.0, 80134.0, 0.6119, 0.0, 0.0, 0.0, 0.9442, 0.664, 0.3898, 1.1157, 0.0066, 162860.0, 2.375, 0.4333
5.4465, 5.6762, 0.7548, 1.0, 0.3516, 0.0, 1.7112, 1.2469, 0.7085, 1.116, 0.6032, 19.6365, 1.625, 0.3854
3.3351, 8.5413, 0.4122, 0.0, 0.0, 0.0, 2.8662, 3.1378, 1.4913, 4.0849, 0.7219, 14.6265, 1.75, 0.3698
8.9306, 5.1311, 0.3534, 1.0, 0.2734, 0.0, 1.1202, 0.7246, 0.4367, 1.2334, 0.623, 22.0951, 3.625, 0.3784
5.1518, 5.7679, 0.5547, 0.0, 0.0, 0.0, 1.4582, 1.3526, 0.697, 2.3867, 0.7889, 15.658, 2.25, 0.4241
4.4328, 7.9469, 0.426, 0.0, 0.0, 0.0, 1.7831, 1.3872, 0.7604, 1.2886, 0.7627, 17.786, 4.625, 0.3617
2.7015, 7.4582, 0.5544, 0.0, 0.0, 0.0, 3.2527, 1.5484, 1.041, 1.288, 0.7821, 16.7414, 2.875, 0.4488
3.5538, 5.6964, 0.5122, 0.0, 0.0, 0.0, 2.3323, 1.864, 1.0163, 2.4254, 0.7518, 13.0084, 3.75, 0.3911
4.6452, 6.5496, 0.4563, 1.0, 0.3125, 0.0, 2.0024, 1.6475, 0.9018, 2.0721, 0.6684, 13.994, 1.375, 0.382
