alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
3889.0, 1439.6, 0.0028, 0.0, 0.0, 0.0, 0.0336, 0.0026, 0.0024, 0.0462, 0.0087, 264.719, 2.0, 0.6145
22.7516, 20.9122, 0.4984, 2.0, 0.3418, 0.0, 0.7745, 0.4783, 0.2955, 0.6999, 0.5024, 27.1006, 3.25, 0.3919
41.264, 16.5999, 0.4301, 0.0, 0.0, 0.0, 0.6788, 0.2132, 0.1551, 0.1561, 0.4443, 25.2846, 3.5, 0.4945
27.9162, 20.8911, 0.289, 0.0, 0.0, 0.0, 0.5135, 0.6299, 0.2829, 0.8228, 0.6393, 24.3798, 3.625, 0.4607
22.4425, 36.7769, 0.1899, 0.0, 0.0, 0.0, 0.5809, 0.6011, 0.2932, 1.2482, 0.6237, 16.717, 2.125, 0.3256
17.4779, 45.3799, 0.2666, 0.0, 0.0, 0.0, 1.1232, 1.0919, 0.5529, 1.2254, 0.5808, 19.4745, 3.25, 0.3974
16.8668, 32.615, 0.3804, 0.0, 0.0, 0.0, 1.1721, 1.0479, 0.553, 1.0424, 0.5986, 20.7658, 3.125, 0.3675
17.2592, 22.7956, 0.3392, 0.0, 0.0, 0.0, 0.6467, 0.64, 0.3217, 0.7876, 0.6706, 17.1469, 1.25, 0.3714
9.0587, 19.3157, 0.5254, 0.0, 0.0, 0.0, 2.4997, 0.8333, 0.6246, 0.8204, 0.5882, 26.5453, 2.75, 0.359
23.6673, 27.1849, 0.3832, 0.0, 0.0, 0.0, 0.5985, 1.723, 0.4442, 2.5195, 0.6224, 20.3787, 2.125, 0.3705
16.8691, 36.1434, 0.227, 0.0, 0.0, 0.0, 0.9799, 0.9256, 0.4759, 0.923, 0.6563, 19.8628, 2.25, 0.3341
17.8787, 25.3215, 0.2871, 0.0, 0.0, 0.0, 0.8346, 0.5932, 0.3467, 0.7096, 0.6218, 17.0701, 1.625, 0.4145
18.839, 29.313, 0.457, 0.0, 0.0, 0.0, 1.1926, 1.51, 0.6657, 1.9258, 0.608, 22.8738, 1.625, 0.3618
22.7514, 33.8171, 0.3003, 0.0, 0.0, 0.0, 0.6696, 1.1117, 0.4173, 1.6554, 0.6402, 19.8168, 2.5, 0.3427
17.5536, 34.8584, 0.248, 0.0, 0.0, 0.0, 0.763, 1.2628, 0.4756, 2.0113, 0.636, 14.7244, 0.625, 0.3517
23.895, 30.9458, 0.2991, 0.0, 0.0, 0.0, 0.7249, 2.2615, 0.5488, 2.1478, 0.7186, 14.8828, 3.0, 0.3353
15.8005, 34.1661, 0.292, 0.0, 0.0, 0.0, 0.903, 1.1903, 0.5118, 0.9725, 0.6677, 17.9656, 4.125, 0.384
30.5752, 35.7386, 0.2227, 0.0, 0.0, 0.0, 0.4369, 1.0804, 0.3111, 1.3418, 0.5753, 17.7992, 0.5, 0.3089
18.9407, 23.6351, 0.3845, 0.0, 0.0, 0.0, 0.6575, 1.2523, 0.4309, 1.3647, 0.6198, 20.2882, 2.0, 0.3446
16.605, 32.0339, 0.3128, 0.0, 0.0, 0.0, 0.7445, 1.1514, 0.452, 1.585, 0.657, 15.0487, 1.875, 0.3624
20.0284, 33.947, 0.3377, 0.0, 0.0, 0.0, 0.8111, 2.066, 0.5824, 1.5772, 0.6865, 19.0052, 3.0, 0.4263
22.2176, 25.2395, 0.5154, 0.0, 0.0, 0.0, 0.7818, 2.4912, 0.595, 2.4003, 0.6884, 18.2445, 2.375, 0.3609
23.7222, 38.3391, 0.2311, 0.0, 0.0, 0.0, 0.4966, 1.4933, 0.3727, 1.371, 0.6328, 13.7516, 1.625, 0.3365
17.5664, 25.4831, 0.412, 0.0, 0.0, 0.0, 0.7843, 1.0599, 0.4506, 1.176, 0.6719, 18.9468, 3.125, 0.3928
20.7253, 37.3506, 0.3839, 0.0, 0.0, 0.0, 0.7541, 2.5751, 0.5832, 2.2442, 0.7592, 22.5943, 1.5, 0.358
