alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
2217.1, 282.9527, 0.0023, 0.0, 0.0, 0.0, 0.0253, 0.0019, 0.0018, 0.0455, 0.0087, 22.8022, 2.75, 0.622
3.0583, 3.0655, 0.9153, 0.0, 0.0, 0.0, 1.5697, 2.2292, 0.9089, 2.084, 0.585, 9.9613, 3.0, 0.4105
4.459, 6.7365, 0.3763, 0.0, 0.0, 0.0, 0.9223, 0.6281, 0.3732, 0.8363, 0.6963, 7.0902, 3.5, 0.411
3.6164, 3.1766, 0.4436, 0.0, 0.0, 0.0, 0.9094, 0.775, 0.4164, 1.4025, 0.7244, 6.038, 2.25, 0.435
7.3415, 3.7105, 0.4432, 0.0, 0.0, 0.0, 0.5571, 0.703, 0.3019, 1.0143, 0.6957, 5.3912, 1.125, 0.4069
3.914, 4.7281, 0.344, 0.0, 0.0, 0.0, 0.6514, 1.0181, 0.396, 1.914, 0.6868, 6.5282, 1.25, 0.4139
2.8164, 5.0623, 0.2501, 0.0, 0.0, 0.0, 0.8652, 0.8227, 0.4211, 1.1957, 0.6549, 5.6521, 1.5, 0.3489
3.3133, 4.0789, 0.4, 0.0, 0.0, 0.0, 1.0819, 1.346, 0.5869, 1.7997, 0.7245, 5.1378, 1.625, 0.3633
2.1826, 3.2815, 0.3123, 0.0, 0.0, 1.0, 1.7267, 1.7009, 0.8553, 2.0876, 0.7162, 5.1614, 3.125, 0.4581
2.6854, 2.3462, 0.5782, 0.0, 0.0, 0.0, 1.2563, 1.0697, 0.5734, 1.5086, 0.7219, 5.4706, 2.375, 0.3756
3.8214, 3.1775, 0.3992, 0.0, 0.0, 0.0, 0.866, 1.089, 0.4767, 1.4029, 0.6904, 5.2456, 2.875, 0.4038
3.9115, 2.7042, 0.4845, 0.0, 0.0, 0.0, 0.9927, 0.6971, 0.4089, 0.9489, 0.6896, 6.3204, 1.75, 0.3788
3.7327, 3.7752, 0.4127, 0.0, 0.0, 0.0, 1.2198, 1.0259, 0.5572, 1.3225, 0.6684, 6.1303, 2.5, 0.3902
5.3561, 4.4689, 0.4405, 0.0, 0.0, 0.0, 0.7495, 1.4269, 0.4828, 1.8205, 0.6814, 7.3526, 2.25, 0.3967
2.339, 2.0047, 0.5663, 0.0, 0.0, 0.0, 1.3313, 0.6606, 0.4413, 0.9423, 0.6417, 4.9904, 2.25, 0.4275
2.9706, 4.2798, 0.3792, 0.0, 0.0, 0.0, 0.9389, 0.2434, 0.1933, 0.3118, 0.5316, 4.331, 1.5, 0.3958
2.9459, 2.4125, 0.6129, 0.0, 0.0, 0.0, 1.1039, 1.1862, 0.5655, 1.6223, 0.7387, 4.7014, 2.875, 0.3736
5.2846, 4.4184, 0.3098, 0.0, 0.0, 0.0, 0.6875, 1.4521, 0.4652, 2.4021, 0.695, 5.3205, 1.875, 0.3466
1.8473, 1.787, 0.6318, 0.0, 0.0, 1.0, 1.4277, 1.1142, 0.6253, 1.9143, 0.7339, 4.9261, 2.625, 0.4118
4.9539, 3.7817, 0.3798, 0.0, 0.0, 0.0, 0.6662, 1.1721, 0.4231, 2.5098, 0.7189, 4.6694, 3.875, 0.442
2.2434, 1.7476, 0.9231, 0.0, 0.0, 0.0, 1.6649, 1.497, 0.7868, 1.7724, 0.741, 5.3812, 1.375, 0.3712
2.0793, 1.3733, 0.854, 1.0, 0.2539, 0.0, 1.6967, 0.9494, 0.6087, 1.3655, 0.6439, 5.6706, 2.25, 0.3603
2.6828, 3.6851, 0.2612, 0.0, 0.0, 0.0, 1.352, 0.443, 0.3325, 0.6289, 0.6576, 4.8332, 1.25, 0.4398
4.0797, 4.6651, 0.2548, 0.0, 0.0, 0.0, 0.621, 0.7884, 0.3473, 1.6531, 0.6933, 3.204, 3.125, 0.4935
4.1495, 3.6205, 0.3721, 0.0, 0.0, 0.0, 0.871, 0.7987, 0.4162, 0.9153, 0.7154, 5.3852, 1.875, 0.3954
