Label, Score
Score, 0.0
Score, 19.801472561384763
Score, 50.59241024515173
Score, 92.59730878765883
Score, 22.4045729392954
Score, 92.55710261698745
Score, 57.078327083696934
Score, 28.859755412091136
Score, 66.1173484193239
Score, 95.53768134093737
Score, 90.6885824789392
Score, 69.2226767918625
Score, 3.9583969099576064E-11
Score, 87.86004141010464
Score, 92.35368090625931
Score, 86.4000109130251
Score, 88.10129615650662
Score, 68.10093026411418
Score, 92.63846060192125
Score, 95.37961673738944
Score, 29.57816766291045
Score, 94.66462040799382
Score, 92.9734764374006
Score, 95.39175239231113
Score, 96.7464251769034
Concentration Duration (Seconds) out of 125, 95
Average Score (0-100), 68.22582870976835
Sustain Rate (%), 76.0
Game Score, 8125.652714418157
