Label, Score
Score, 0.0
Score, 96.20299892113466
Score, 98.53555456732997
Score, 86.60238236608343
Score, 95.77181391833048
Score, 27.775507918865856
Score, 77.69211494052443
Score, 96.52310903864921
Score, 97.30734248616363
Score, 89.83176150634382
Score, 96.93726807605091
Score, 11.470748123672536
Score, 16.57313568624619
Score, 92.4821114736115
Score, 33.24566952487275
Score, 96.55988378593288
Score, 96.49766415551477
Score, 96.29132543778812
Score, 3.297672187649838E-11
Score, 85.70836328811117
Score, 2.7698882964905966E-27
Score, 89.3839818390847
Score, 96.68239911556043
Score, 12.851658142701927
Score, 66.11100768721242
Concentration Duration (Seconds) out of 125, 90
Average Score (0-100), 66.28151207999275
Sustain Rate (%), 72.0
Game Score, 8010.504810513015
