alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
594.3861, 26.1451, 0.0494, 0.0, 0.0, 0.0, 0.037, 0.0029, 0.0027, 0.0472, 0.0104, 19.6842, 1.375, 0.526
12.4745, 21.2819, 0.4885, 2.0, 0.4818, 0.0, 0.7566, 0.4726, 0.2904, 0.7115, 0.4806, 15.9628, 1.875, 0.431
10.338, 44.7327, 0.268, 0.0, 0.0, 0.0, 0.9502, 0.9455, 0.4725, 1.0756, 0.6214, 15.3943, 1.125, 0.3527
24.9319, 34.1835, 0.262, 1.0, 0.2539, 0.0, 0.5286, 0.9544, 0.3381, 1.5927, 0.6608, 27.7141, 1.75, 0.4324
7.4493, 20.0402, 0.3305, 1.0, 1.1523, 0.0, 1.1587, 1.0239, 0.5376, 1.2017, 0.6166, 15.9946, 3.125, 0.4357
18.3996, 17.3673, 0.5167, 1.0, 0.2539, 0.0, 0.7758, 1.0643, 0.4477, 1.7338, 0.5992, 23.4821, 1.875, 0.3939
21.3882, 25.1508, 0.2239, 1.0, 0.2344, 0.0, 0.3715, 0.1957, 0.1282, 0.5507, 0.616, 17.1507, 1.25, 0.3895
8.8702, 11.2552, 0.5811, 1.0, 0.3125, 0.0, 1.4365, 0.6877, 0.4618, 0.9045, 0.62, 20.0522, 2.625, 0.3978
10.3033, 10.8924, 0.5587, 1.0, 0.2539, 0.0, 1.1354, 1.0113, 0.5348, 1.3804, 0.6502, 29.3626, 2.25, 0.438
8.9526, 38.8058, 0.3119, 0.0, 0.0, 0.0, 1.2048, 0.9262, 0.5205, 0.8816, 0.6905, 28.9058, 1.875, 0.3509
9.8136, 14.9975, 0.5202, 0.0, 0.0, 0.0, 1.0392, 1.5862, 0.6262, 2.2073, 0.6158, 27.2227, 0.875, 0.3466
16.2564, 21.0166, 0.6343, 1.0, 0.2148, 0.0, 1.0936, 1.6936, 0.6622, 4.2027, 0.7395, 50.8755, 3.25, 0.4093
23.2861, 13.8305, 0.5991, 1.0, 0.1953, 0.0, 0.7609, 0.4782, 0.2915, 0.996, 0.7023, 25.053, 2.375, 0.3827
16.2777, 15.3984, 0.7812, 1.0, 0.3125, 0.0, 1.181, 1.2006, 0.5953, 1.6649, 0.6782, 36.7895, 4.25, 0.4199
6.3255, 8.3744, 0.9675, 1.0, 0.3516, 0.0, 1.4849, 1.5987, 0.7326, 1.6374, 0.7921, 25.1458, 2.75, 0.3762
8.3749, 20.3933, 0.4883, 1.0, 0.293, 0.0, 1.3324, 0.8048, 0.5002, 0.9398, 0.7408, 21.7139, 3.0, 0.3785
9.564, 6.2747, 0.5483, 0.0, 0.0, 0.0, 1.125, 0.8159, 0.4667, 0.7238, 0.5389, 23.6567, 1.625, 0.3533
9.1105, 20.6034, 0.584, 0.0, 0.0, 0.0, 1.8279, 0.817, 0.5646, 0.7482, 0.6752, 26.0138, 1.75, 0.389
14.0832, 14.6743, 0.5183, 2.0, 0.2246, 0.0, 0.863, 0.639, 0.3644, 1.7497, 0.5308, 35.789, 1.375, 0.4042
52.24, 12.964, 0.4211, 2.0, 0.332, 0.0, 0.6791, 0.4045, 0.2535, 0.9135, 0.4356, 25.6728, 2.0, 0.4508
9.8964, 14.9592, 0.9591, 0.0, 0.0, 0.0, 1.7156, 1.2586, 0.7257, 1.0749, 0.7842, 44.9962, 2.625, 0.4242
5.9162, 10.622, 0.6383, 0.0, 0.0, 0.0, 2.6736, 1.4919, 0.9429, 1.9605, 0.7937, 28.5368, 3.625, 0.405
20.5668, 39.1546, 0.2945, 3.0, 0.2148, 0.0, 0.8101, 0.8257, 0.4089, 1.4781, 0.5563, 33.0869, 2.875, 0.448
14.1282, 20.3866, 0.5304, 1.0, 0.2734, 0.0, 0.9556, 0.3154, 0.2371, 0.5748, 0.5983, 29.7533, 1.625, 0.3694
9.0738, 25.06, 0.3937, 2.0, 0.2441, 0.0, 1.4639, 1.2617, 0.6723, 1.5518, 0.6479, 33.4251, 2.875, 0.3357
