alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
398.8053, 4862.4, 0.0019, 0.0, 0.0, 0.0, 0.2481, 0.0226, 0.0207, 0.0959, 0.0254, 73.0495, 0.625, 0.5225
7.8433, 14.293, 0.5114, 0.0, 0.0, 0.0, 0.9068, 1.4837, 0.5625, 2.415, 0.6197, 62.8397, 3.0, 0.4163
6.5541, 19.5131, 0.5379, 0.0, 0.0, 0.0, 1.1333, 1.5382, 0.6501, 2.7595, 0.6062, 85.1714, 3.5, 0.4344
8.6763, 19.567, 0.7179, 0.0, 0.0, 0.0, 0.9455, 1.0202, 0.4855, 1.5748, 0.5115, 107.63, 2.0, 0.4218
7.0378, 25.9421, 0.4797, 1.0, 0.2148, 0.0, 1.0849, 0.7062, 0.4264, 1.2745, 0.5288, 113.5101, 4.0, 0.426
8.0891, 24.5137, 0.6151, 0.0, 0.0, 0.0, 1.6876, 1.6061, 0.8223, 1.833, 0.5423, 103.9312, 2.75, 0.4153
4.8833, 24.9624, 0.4247, 0.0, 0.0, 0.0, 1.2678, 1.1836, 0.6037, 1.7952, 0.5694, 86.3447, 1.75, 0.425
5.6833, 29.8642, 0.5344, 0.0, 0.0, 0.0, 1.3868, 0.9499, 0.5628, 1.3624, 0.6273, 131.8758, 3.375, 0.4493
3.9043, 21.8702, 0.6044, 0.0, 0.0, 0.0, 1.5133, 0.84, 0.5113, 0.5375, 0.5456, 120.4135, 2.5, 0.3703
5.2463, 21.5808, 0.5396, 0.0, 0.0, 0.0, 1.1048, 1.7439, 0.6586, 3.1008, 0.5986, 99.083, 1.875, 0.4185
7.3297, 34.5575, 0.4477, 0.0, 0.0, 0.0, 1.0213, 0.8408, 0.4504, 0.8864, 0.5716, 148.6429, 2.625, 0.3706
9.7314, 35.0105, 0.9676, 0.0, 0.0, 0.0, 3.4741, 5.9909, 2.1975, 4.9696, 0.5327, 151.2181, 2.5, 0.3955
5.0303, 29.6162, 0.3927, 1.0, 0.3516, 0.0, 1.5554, 1.2238, 0.6848, 1.5039, 0.5134, 92.3027, 4.25, 0.4738
4.056, 19.4324, 0.4669, 0.0, 0.0, 0.0, 1.3821, 2.3084, 0.864, 3.2204, 0.645, 84.2031, 1.75, 0.4178
4.7279, 34.9435, 0.33, 0.0, 0.0, 0.0, 0.9238, 0.5576, 0.3477, 0.8618, 0.5829, 137.019, 2.25, 0.4006
4.3809, 40.4295, 0.5493, 0.0, 0.0, 0.0, 1.6829, 1.1858, 0.6906, 1.3881, 0.4776, 187.3401, 3.125, 0.412
4.0779, 33.539, 0.3714, 0.0, 0.0, 0.0, 1.5614, 0.9795, 0.6018, 1.5061, 0.5829, 126.825, 1.625, 0.4222
5.4485, 23.4128, 0.4965, 0.0, 0.0, 0.0, 1.1387, 1.1256, 0.5539, 1.3598, 0.5935, 111.1215, 1.375, 0.3729
6.7087, 44.887, 0.4208, 0.0, 0.0, 0.0, 0.9496, 1.1392, 0.5167, 2.4206, 0.4957, 155.7435, 2.625, 0.4021
5.8987, 41.7111, 0.4341, 0.0, 0.0, 0.0, 1.4281, 1.6731, 0.7701, 2.2365, 0.461, 134.725, 1.125, 0.3614
6.0425, 28.2703, 0.4853, 0.0, 0.0, 0.0, 0.9385, 0.297, 0.2254, 0.5659, 0.4749, 136.8835, 4.375, 0.4704
7.0371, 60.3123, 0.4721, 0.0, 0.0, 0.0, 0.7842, 0.8084, 0.3978, 1.3486, 0.4843, 230.1847, 1.625, 0.4057
5.6279, 38.5635, 0.4159, 0.0, 0.0, 0.0, 1.2688, 2.0297, 0.7804, 2.6664, 0.606, 134.6367, 2.125, 0.4472
6.111, 34.5713, 0.4284, 0.0, 0.0, 0.0, 1.0662, 1.1436, 0.5508, 1.7897, 0.6385, 129.4273, 3.5, 0.4281
4.8461, 25.4179, 0.4802, 2.0, 0.2637, 0.0, 1.638, 0.9064, 0.5798, 1.3482, 0.4846, 93.6562, 1.25, 0.42
