Start Index, End Index, Length
0, 1252, 1253
1253, 2504, 1252
2505, 3756, 1252
3757, 5010, 1254
5011, 6263, 1253
6264, 7515, 1252
7516, 8765, 1250
8766, 10019, 1254
10020, 11269, 1250
11270, 12521, 1252
12522, 13774, 1253
13775, 15026, 1252
15027, 16277, 1251
16278, 17528, 1251
17529, 18780, 1252
18781, 20032, 1252
20033, 21285, 1253
21286, 22537, 1252
22538, 23789, 1252
23790, 25041, 1252
25042, 26293, 1252
26294, 27545, 1252
27546, 28799, 1254
28800, 30050, 1251
30051, 31302, 1252
31303, 32554, 1252
32555, 33806, 1252
33807, 35058, 1252
35059, 36310, 1252
36311, 37563, 1253
37564, 38815, 1252
38816, 40067, 1252
40068, 41319, 1252
41320, 42569, 1250
42570, 43823, 1254
43824, 45075, 1252
45076, 46326, 1251
46327, 47578, 1252
47579, 48830, 1252
48831, 50082, 1252
50083, 51334, 1252
51335, 52586, 1252
52587, 53839, 1253
53840, 55089, 1250
55090, 56341, 1252
56342, 57593, 1252
57594, 58845, 1252
58846, 60097, 1252
60098, 61350, 1253
61351, 62600, 1250
62601, 63852, 1252
63853, 65104, 1252
65105, 66356, 1252
66357, 67608, 1252
67609, 68861, 1253
68862, 70113, 1252
70114, 71365, 1252
71366, 72617, 1252
72618, 73869, 1252
73870, 75121, 1252
75122, 76375, 1254
76376, 77629, 1254
77630, 78882, 1253
78883, 80134, 1252
80135, 81388, 1254
81389, 82640, 1252
82641, 83892, 1252
83893, 85148, 1256
85149, 86398, 1250
86399, 87650, 1252
87651, 88903, 1253
88904, 90155, 1252
90156, 91407, 1252
91408, 92661, 1254
92662, 93911, 1250
93912, 95165, 1254
95166, 96417, 1252
96418, 97669, 1252
97670, 98922, 1253
98923, 100174, 1252
100175, 101428, 1254
101429, 102680, 1252
102681, 103934, 1254
103935, 105186, 1252
105187, 106440, 1254
106441, 107690, 1250
107691, 108944, 1254
108945, 110197, 1253
110198, 111449, 1252
111450, 112701, 1252
112702, 113953, 1252
113954, 115205, 1252
115206, 116459, 1254
116460, 117711, 1252
117712, 118963, 1252
118964, 120218, 1255
120219, 121470, 1252
121471, 122720, 1250
122721, 123972, 1252
123973, 125227, 1255
125228, 126479, 1252
126480, 127733, 1254
127734, 128985, 1252
128986, 130237, 1252
130238, 131491, 1254
131492, 132743, 1252
132744, 133995, 1252
133996, 135249, 1254
135250, 136503, 1254
136504, 137756, 1253
137757, 139008, 1252
139009, 140258, 1250
140259, 141510, 1252
141511, 142764, 1254
142765, 144016, 1252
144017, 145268, 1252
145269, 146521, 1253
146522, 147771, 1250
147772, 149023, 1252
149024, 150275, 1252
