alphaPowerFP, alphaPowerP, betaByAlphaPlusThetaP, blinkFrequency, blinkDuration, freqFp_89_13_17, betaByAlpha, betaByTheta, betaByAlphaPlusThetaFP, smrPlusMidBetaByTheta, sampEn, betaPowerO, alphaThetaHarmonicLocking, alphaThetaPhaseSynchrony
283.6907, 20273.0, 0.0018, 0.0, 0.0, 0.0, 0.4171, 0.0822, 0.0683, 0.0493, 0.0214, 13.3418, 1.25, 0.5012
328.8182, 18.5735, 0.2496, 3.0, 0.7292, 0.0, 0.5044, 0.3027, 0.186, 0.6769, 0.1963, 51.6975, 2.375, 0.3914
14.3536, 10.2713, 0.4849, 0.0, 0.0, 0.0, 1.0619, 0.2453, 0.1993, 0.3196, 0.3734, 10.7891, 2.5, 0.4317
10.4423, 7.3876, 0.7767, 0.0, 0.0, 0.0, 1.4126, 1.3926, 0.6965, 2.6224, 0.4439, 8.5012, 2.375, 0.4128
8.7792, 5.6277, 0.754, 0.0, 0.0, 0.0, 1.7354, 0.7676, 0.5322, 1.0233, 0.5883, 7.7645, 0.375, 0.397
7.8784, 6.4421, 0.722, 0.0, 0.0, 0.0, 2.4532, 2.0918, 1.1272, 1.5906, 0.697, 6.9777, 2.375, 0.3963
16.7084, 21.4417, 0.5101, 1.0, 0.9961, 0.0, 0.9466, 0.7161, 0.4071, 0.9512, 0.4912, 8.6249, 1.625, 0.3976
13.5779, 12.4505, 0.5158, 0.0, 0.0, 0.0, 1.1177, 0.795, 0.4607, 0.9439, 0.4149, 8.409, 3.75, 0.4185
9.3996, 28.3492, 0.388, 1.0, 0.6836, 0.0, 1.2259, 1.0093, 0.5487, 1.7905, 0.6495, 8.0237, 3.5, 0.4193
9.2165, 21.3922, 0.4024, 0.0, 0.0, 0.0, 1.5666, 1.7318, 0.8207, 1.9226, 0.6063, 7.3053, 1.375, 0.3382
16.6053, 38.9949, 0.3156, 0.0, 0.0, 0.0, 0.7815, 0.944, 0.4273, 1.091, 0.6092, 6.7917, 4.375, 0.405
15.919, 20.7744, 0.3932, 0.0, 0.0, 0.0, 0.9234, 1.8439, 0.6123, 1.8894, 0.65, 7.1136, 2.125, 0.4442
11.7633, 21.8401, 0.3781, 0.0, 0.0, 0.0, 1.1237, 2.2311, 0.7451, 3.8412, 0.7168, 9.1854, 3.25, 0.427
21.8777, 93.772, 0.1332, 0.0, 0.0, 0.0, 0.7383, 1.2164, 0.4351, 2.1252, 0.5494, 8.5728, 2.75, 0.3868
14.7033, 15.624, 0.334, 0.0, 0.0, 0.0, 0.9395, 1.3012, 0.5391, 1.3147, 0.6294, 7.1331, 3.375, 0.4101
14.9793, 74.1086, 0.1672, 0.0, 0.0, 0.0, 1.148, 1.0761, 0.5548, 1.0901, 0.6407, 10.1744, 1.75, 0.4066
10.8581, 33.8239, 0.231, 0.0, 0.0, 0.0, 1.6931, 2.2767, 0.9691, 3.1982, 0.7003, 10.863, 2.625, 0.3765
13.4946, 28.8141, 0.3642, 0.0, 0.0, 0.0, 1.336, 1.7754, 0.759, 1.7666, 0.6372, 8.6346, 3.0, 0.4708
26.0566, 58.7373, 0.1931, 0.0, 0.0, 0.0, 0.5851, 1.7929, 0.4409, 2.4354, 0.6172, 9.3138, 3.375, 0.4484
11.8826, 16.0971, 0.4887, 0.0, 0.0, 0.0, 1.4573, 2.3284, 0.8925, 2.2687, 0.6809, 7.7347, 3.5, 0.5016
15.0242, 54.6547, 0.2636, 0.0, 0.0, 0.0, 0.9841, 1.8969, 0.6391, 2.6792, 0.6374, 7.9009, 2.5, 0.434
20.3671, 51.1514, 0.2831, 0.0, 0.0, 0.0, 0.7743, 1.6203, 0.5217, 1.9033, 0.5771, 9.5279, 3.5, 0.4576
13.6623, 50.9173, 0.2121, 0.0, 0.0, 0.0, 0.8898, 1.111, 0.4919, 1.6722, 0.6929, 7.2227, 2.125, 0.3646
20.7537, 78.9374, 0.142, 0.0, 0.0, 0.0, 0.7051, 1.6789, 0.496, 2.7902, 0.6362, 9.9157, 2.875, 0.4252
16.6482, 48.9301, 0.3649, 0.0, 0.0, 0.0, 0.9366, 1.851, 0.5972, 1.9232, 0.621, 8.1853, 2.25, 0.435
