Label, Score
Score, 0.0
Score, 1.4136523388807963E-5
Score, 3.1576953711516276
Score, 0.11328604115054985
Score, 0.4884336827484963
Score, 0.00111001197186144
Score, 3.018792311021245
Score, 21.394423251492768
Score, 46.73261652774364
Score, 1.2981738735385635
Score, 0.3520419758281669
Score, 39.201620605497205
Score, 0.27307607553372465
Score, 0.13215617416707226
Score, 21.187375222832582
Score, 10.91379744454417
Score, 2.5307952148627494E-7
Score, 2.9426179182811123
Score, 8.268943614934894
Score, 28.15396394272493
Score, 22.092173009376936
Score, 0.0959119847034599
Score, 0.0024271958680093637
Score, 26.66984681877323
Score, 1.7645018079036698E-4
Concentration Duration (Seconds) out of 125, 10
Average Score (0-100), 9.45962695574672
Sustain Rate (%), 8.0
Game Score, 580.2276224266311
